Number of Processes,Memory Used (MB),Time Elapsed (ms)
1,1628.3984375,514.9979591369629
2,1631.0,3070.376396179199
3,1634.03125,5656.810283660889
4,1637.109375,8222.684144973755
5,1640.390625,10808.388948440552
6,1643.765625,13474.399089813232
7,1647.08984375,16097.42546081543
8,1650.65234375,18674.203634262085
9,1654.5,21223.75726699829
10,1658.41796875,23773.60463142395
11,1662.65234375,26304.508686065674
12,1678.5078125,28834.600925445557
13,1670.953125,31403.959035873413
14,1675.31640625,33940.59181213379
15,1679.88671875,36573.37021827698
16,1684.23046875,39105.44180870056
17,1700.39453125,41645.164489746094
18,1693.03515625,44288.40351104736
19,1700.13671875,46806.2527179718
20,1716.15234375,49362.64109611511
21,1711.3515625,51902.41026878357
22,1718.55078125,54440.87100028992
23,1722.92578125,57044.41022872925
24,1729.51171875,59563.56859207153
25,1737.23828125,62110.72325706482
26,1744.2578125,64670.80545425415
27,1751.84765625,67199.58209991455
28,1758.87890625,69756.17980957031
29,1763.75390625,72287.22286224365
30,1770.9140625,74830.78336715698
31,1779.51953125,77404.67286109924
32,1786.50390625,79945.41025161743
33,1791.28125,82601.41134262085
34,1799.87109375,85171.44846916199
35,1816.05859375,87760.64229011536
36,1812.17578125,90295.73941230774
37,1822.5,92916.41664505005
38,1827.01171875,95536.12232208252
39,1835.05078125,98081.36487007141
40,1841.515625,100669.40760612488
41,1849.16015625,103196.68340682983
42,1856.9296875,105743.36528778076
43,1861.75,108374.75252151489
44,1865.75,110916.3761138916
45,1871.5703125,113523.42915534973
46,1875.93359375,116073.40693473816
47,1886.421875,118701.4319896698
48,1887.5078125,121241.17183685303
49,1898.51171875,123786.67998313904
50,1903.0078125,126378.43012809753
51,1904.44921875,128923.88606071472
52,1912.81640625,131549.3676662445
53,1920.296875,134177.42204666138
54,1936.47265625,136714.05839920044
55,1922.2734375,139242.65241622925
56,1928.32421875,141781.6252708435
57,1932.8828125,144334.52367782593
58,1946.3984375,146890.4583454132
59,1950.86328125,149406.28147125244
60,1952.6171875,151999.42922592163
61,1957.828125,154532.7341556549
62,1967.9453125,157061.0110759735
63,1972.46875,159608.40964317322
64,1969.2734375,162133.2724094391
65,1987.55859375,164670.9897518158
66,1992.0390625,167244.4224357605
67,1999.203125,169778.52654457092
68,2003.546875,172311.9034767151
69,2014.41796875,174858.64424705505
70,2012.0,177399.41883087158
71,2028.77734375,179938.12775611877
72,2018.7890625,182479.67338562012
73,2028.46484375,185041.6030883789
74,2025.8984375,187568.53365898132
75,2030.68359375,190139.67537879944
76,2034.79296875,192671.3719367981
77,2050.12890625,195249.9258518219
78,2051.07421875,197859.375
79,2058.08203125,200481.65225982666
80,2062.70703125,203031.50033950806
81,2074.70703125,205573.81963729858
82,2079.65234375,208147.40180969238
83,2079.92578125,210745.72896957397
84,2076.01953125,213351.19819641113
85,2085.43359375,215943.39442253113
86,2092.859375,218470.13401985168
87,2097.03125,221005.5148601532
88,2102.64453125,223566.39957427979
89,2107.10546875,226107.20443725586
90,2114.328125,228664.07084465027
91,2113.3046875,231208.41336250305
92,2122.40625,233724.20144081116
93,2122.75390625,236259.68599319458
94,2127.1640625,238804.32868003845
95,2136.76953125,241355.71789741516
96,2144.359375,243911.43417358398
97,2150.609375,246448.43101501465
98,2152.4296875,249022.6664543152
99,2154.33203125,251575.46472549438
100,2159.015625,254208.67586135864
101,2169.0859375,256800.3590106964
102,2174.27734375,259317.0120716095
103,2179.015625,261845.43204307556
104,2183.390625,264430.47881126404
105,2191.52734375,266975.7387638092
106,2187.578125,269516.70384407043
107,2212.16796875,272083.46700668335
108,2211.58984375,274598.8414287567
109,2216.140625,277137.469291687
110,2214.25390625,279679.43477630615
111,2218.7265625,282220.5135822296
112,2225.69140625,284755.93519210815
113,2233.8671875,287307.43765830994
114,2243.31640625,289819.76079940796
115,2242.50390625,292343.97745132446
116,2242.65625,294864.69984054565
117,2248.46484375,297417.4540042877
118,2253.48828125,300018.22423934937
119,2263.9921875,302594.17486190796
120,2283.375,305124.294757843
121,2276.0234375,307645.3483104706
122,2281.29296875,310218.3997631073
123,2277.33203125,312784.4126224518
124,2284.24609375,315348.6611843109
125,2303.734375,317869.91906166077
126,2293.1640625,320420.7274913788
127,2306.953125,322994.4682121277
128,2308.41796875,325603.462934494
129,2315.92578125,328172.17898368835
130,2323.19140625,330711.4908695221
131,2345.85546875,333227.2000312805
132,2338.58203125,335791.48292541504
133,2342.859375,338417.4680709839
134,2355.9609375,340977.4298667908
135,2360.6015625,343501.22928619385
136,2370.66015625,346081.16579055786
137,2361.2265625,348612.50019073486
138,2365.6640625,351197.4928379059
139,2366.703125,353750.41007995605
140,2377.4765625,356301.25641822815
141,2384.70703125,358877.3663043976
142,2393.25390625,361420.7971096039
143,2396.0234375,363952.46839523315
144,2405.765625,366517.44270324707
145,2410.25,369036.67664527893
146,2407.36328125,371570.43051719666
147,2411.85546875,374132.47752189636
148,2416.3515625,376675.4539012909
149,2430.5,379205.5971622467
150,2431.87109375,381719.961643219
151,2438.83203125,384245.6636428833
152,2445.30859375,386776.8452167511
153,2434.3203125,389290.69685935974
154,2445.91796875,391908.5166454315
155,2444.24609375,394459.43570137024
156,2454.49609375,396986.2322807312
157,2463.75390625,399568.47882270813
158,2487.40625,402165.19927978516
159,2482.453125,404718.013048172
160,2490.1796875,407253.86929512024
161,2488.12109375,409819.717168808
162,2492.703125,412346.14729881287
163,2499.296875,414875.23889541626
164,2504.515625,417406.09073638916
165,2509.5234375,419926.2022972107
166,2516.421875,422514.4557952881
167,2524.171875,425032.2365760803
168,2522.37109375,427549.9093532562
169,2527.453125,430112.78319358826
170,2546.04296875,432662.88709640503
171,2539.31640625,435194.69022750854
