Number of Processes,Memory Used (MB),Time Elapsed (ms)
1,1353.46484375,505.44190406799316
2,1357.296875,1011.3565921783447
3,1360.80078125,1517.2126293182373
4,1364.7890625,2023.9460468292236
5,1368.98828125,2560.1909160614014
6,1372.75390625,3082.9520225524902
7,1376.74609375,3588.9551639556885
8,1380.61328125,4125.20432472229
9,1386.390625,4631.950616836548
10,1388.6015625,5154.459476470947
11,1392.55078125,5660.944938659668
12,1396.5625,6197.19123840332
13,1395.8671875,6734.193801879883
14,1399.80859375,7240.1745319366455
15,1403.86328125,7776.200294494629
16,1407.7265625,8306.222200393677
17,1412.54296875,8815.483331680298
18,1412.5703125,9352.213859558105
19,1419.85546875,9887.194395065308
20,1427.375,10393.97382736206
21,1431.828125,10927.220106124878
22,1437.56640625,11432.983875274658
23,1425.47265625,11937.960624694824
24,1423.39453125,12443.993091583252
25,1414.15234375,12952.226400375366
26,1411.90234375,13458.213567733765
27,1400.80078125,13995.213747024536
28,1392.93359375,14501.970052719116
29,1391.89453125,15006.96611404419
30,1379.17578125,15511.965990066528
31,1380.40234375,16017.133951187134
32,1376.73046875,16537.386655807495
33,1372.69140625,17043.524026870728
34,1363.7109375,17549.854516983032
35,1365.2734375,18055.96137046814
36,1366.01171875,18568.21298599243
37,1357.2578125,19074.822902679443
38,1362.6484375,19580.323219299316
39,1356.4375,20105.623722076416
40,1355.07421875,20611.884593963623
41,1353.234375,21117.873191833496
42,1355.78125,21624.94421005249
43,1356.609375,22130.93328475952
44,1361.37890625,22663.18941116333
45,1371.95703125,23189.45598602295
46,1376.06640625,23707.648038864136
47,1389.28515625,24220.63970565796
48,1402.4296875,24735.116243362427
49,1419.04296875,25240.997314453125
50,1438.62109375,25746.05083465576
51,1447.5,26265.33341407776
52,1465.0625,26797.680139541626
53,1483.6953125,27304.635524749756
54,1502.70703125,27812.09659576416
55,1516.65625,28333.120107650757
56,1530.27734375,28840.98243713379
57,1540.75,29377.218008041382
58,1557.65234375,29914.193630218506
59,1570.00390625,30442.28959083557
60,1591.1640625,30948.885202407837
61,1604.01171875,31480.433702468872
62,1629.65234375,31990.44179916382
63,1657.4375,32497.749090194702
64,1673.59375,33015.177726745605
65,1697.40625,33521.7981338501
66,1717.7265625,34036.44347190857
67,1738.34765625,34550.48966407776
68,1764.5078125,35063.711166381836
69,1789.73828125,35569.512367248535
70,1809.47265625,36082.07201957703
71,1832.671875,36600.162982940674
72,1853.24609375,37106.3494682312
73,1879.5703125,37612.9732131958
74,1902.12109375,38120.92995643616
75,1920.6796875,38644.795179367065
76,1940.13671875,39151.137351989746
77,1958.4453125,39657.82070159912
78,1977.66015625,40164.05415534973
79,2004.703125,40674.02696609497
80,2030.60546875,41180.96327781677
81,2053.12890625,41686.96689605713
82,2078.12109375,42196.48361206055
83,2101.15625,42703.67097854614
84,2128.61328125,43215.840339660645
85,2149.1875,43723.77586364746
86,2175.87890625,44230.647563934326
87,2203.23046875,44746.05393409729
88,2232.41015625,45259.19532775879
89,2256.6171875,45769.253969192505
90,2285.70703125,46275.999546051025
91,2308.60546875,46782.50789642334
92,2331.84765625,47292.638063430786
93,2347.04296875,47822.27277755737
94,2361.140625,48328.985929489136
95,2378.06640625,48851.25207901001
96,2393.76953125,49357.008934020996
97,2410.8671875,49869.00782585144
98,2424.84765625,50383.81814956665
99,2441.60546875,50905.27296066284
100,2456.49609375,51434.43989753723
101,2469.2265625,51940.070152282715
102,2480.53515625,52449.843406677246
103,2500.54296875,52959.92851257324
104,2514.53515625,53488.33155632019
105,2533.5390625,53994.489669799805
106,2543.9296875,54512.519121170044
107,2554.8984375,55025.68602561951
108,2576.2421875,55535.62021255493
109,2593.66796875,56042.60277748108
110,2614.37109375,56549.03721809387
111,2628.26953125,57064.0287399292
112,2639.58984375,57579.74982261658
113,2650.515625,58095.56174278259
114,2661.49609375,58608.24108123779
115,2678.4609375,59117.52939224243
116,2698.61328125,59623.49629402161
117,2714.0078125,60134.03820991516
118,2734.5390625,60640.0101184845
119,2747.0859375,61145.384550094604
120,2760.10546875,61670.25899887085
121,2772.5625,62201.27582550049
122,2786.31640625,62715.29126167297
123,2807.59765625,63226.14407539368
124,2819.54296875,63749.28951263428
125,2836.44140625,64262.06278800964
126,2847.73828125,64769.49739456177
127,2864.484375,65279.45065498352
128,2880.484375,65785.82334518433
129,2899.67578125,66297.19090461731
130,2916.62890625,66834.28931236267
131,2926.26953125,67340.04783630371
132,2953.890625,67845.06034851074
133,2961.3203125,68354.97689247131
134,2970.71484375,68866.52898788452
135,2986.03515625,69379.52303886414
136,3002.36328125,69885.73598861694
137,3018.5234375,70392.0373916626
138,3036.47265625,70899.01304244995
139,3041.29296875,71407.39488601685
140,3052.33203125,71921.89717292786
141,3068.6015625,72443.31884384155
142,3083.6875,72980.30352592468
143,3106.109375,73502.48575210571
144,3121.4375,74008.20112228394
145,3144.08984375,74515.03419876099
146,3153.91796875,75037.75310516357
147,3163.7578125,75554.59022521973
148,3180.2265625,76091.03155136108
149,3194.953125,76608.04200172424
150,3214.8671875,77144.29116249084
151,3231.1015625,77665.5900478363
152,3244.77734375,78200.3071308136
153,3256.21875,78709.31553840637
154,3271.765625,79218.03522109985
155,3287.68359375,79735.04257202148
156,3300.3828125,80241.06931686401
157,3310.52734375,80747.9522228241
158,3327.5078125,81273.53954315186
159,3338.9921875,81780.41338920593
160,3356.71875,82296.25105857849
161,3378.6953125,82804.68320846558
162,3394.71484375,83331.82978630066
163,3412.99609375,83838.03081512451
164,3418.859375,84353.15990447998
165,3429.51171875,84870.86009979248
166,3454.05078125,85379.27842140198
167,3472.66015625,85888.3900642395
168,3493.29296875,86394.11878585815
169,3498.546875,86922.75857925415
170,3507.84765625,87429.06260490417
171,3520.0546875,87965.31391143799
172,3544.453125,88488.30604553223
173,3556.18359375,89025.30860900879
174,3569.6015625,89531.24690055847
175,3584.92578125,90038.05470466614
176,3599.0234375,90547.40929603577
177,3615.96484375,91067.78764724731
178,3635.06640625,91575.04677772522
179,3648.3828125,92082.07368850708
180,3664.79296875,92589.39599990845
181,3687.08203125,93096.12846374512
182,3690.87890625,93602.4980545044
183,3702.75390625,94110.83793640137
184,3719.3125,94647.31812477112
185,3730.4140625,95184.31210517883
186,3750.57421875,95691.05958938599
187,3766.75,96219.0523147583
188,3782.4140625,96755.35130500793
189,3803.2734375,97292.311668396
190,3821.26171875,97806.07509613037
191,3830.6484375,98315.7365322113
192,3846.55859375,98832.279920578
193,3852.9453125,99339.08796310425
194,3865.29296875,99852.78248786926
195,3887.3125,100358.49666595459
196,3902.2578125,100895.33853530884
197,3916.34375,101407.87625312805
198,3930.7890625,101944.36430931091
199,3949.58984375,102455.33728599548
200,3961.64453125,102992.36106872559
201,3981.18359375,103514.65845108032
202,3995.1875,104030.62605857849
203,4010.33984375,104537.12630271912
204,4029.02734375,105048.14124107361
205,4046.39453125,105555.10973930359
206,4053.5390625,106072.34239578247
207,4060.65625,106578.96280288696
208,4078.21484375,107085.1423740387
209,4091.1796875,107597.15008735657
210,4109.73828125,108104.94017601013
211,4123.65234375,108632.43460655212
212,4140.3125,109138.41724395752
213,4152.1015625,109644.6967124939
214,4169.50390625,110154.27327156067
215,4191.72265625,110661.15832328796
216,4200.05078125,111181.20622634888
217,4216.7890625,111687.16549873352
218,4224.484375,112207.34906196594
219,4243.1953125,112716.76349639893
220,4264.6875,113223.3099937439
221,4276.9921875,113729.78687286377
222,4294.35546875,114236.81402206421
223,4312.1171875,114743.18194389343
224,4319.5859375,115250.2076625824
225,4342.3515625,115756.17623329163
226,4343.8984375,116270.74480056763
227,4357.1484375,116788.21921348572
228,4376.46875,117305.66024780273
229,4395.84375,117817.6531791687
230,4418.5546875,118324.56707954407
231,4425.40625,118861.46903038025
232,4443.80859375,119369.21000480652
233,4450.328125,119877.22539901733
234,4464.36328125,120393.12839508057
235,4482.78515625,120924.15618896484
236,4509.16015625,121451.6110420227
237,4542.546875,121961.98225021362
238,4569.81640625,122468.27936172485
239,4588.65625,122975.97599029541
240,4630.8515625,123510.11514663696
241,4663.25390625,124020.42031288147
242,4693.10546875,124527.25505828857
243,4718.9296875,125042.76442527771
244,4752.81640625,125549.25298690796
245,4788.86328125,126058.50076675415
246,4823.671875,126569.54646110535
247,4846.12109375,127076.28226280212
248,4872.2890625,127593.53852272034
249,4900.8671875,128106.01878166199
250,4929.9921875,128611.49287223816
251,4955.296875,129119.5821762085
252,4987.51953125,129646.7866897583
253,5022.4375,130156.27932548523
254,5050.83984375,130663.28930854797
255,5070.38671875,131182.41333961487
256,5101.14453125,131690.61279296875
257,5134.6015625,132215.34848213196
258,5164.9609375,132746.8342781067
259,5192.2890625,133253.32260131836
260,5226.58203125,133760.83207130432
261,5251.43359375,134268.65553855896
262,5283.3671875,134775.97379684448
263,5312.703125,135286.03792190552
264,5339.16796875,135798.5908985138
265,5366.6875,136305.31573295593
266,5395.4921875,136839.1969203949
267,5429.03125,137350.43215751648
268,5459.87890625,137857.33699798584
269,5482.87109375,138363.59071731567
270,5521.37109375,138869.38619613647
271,5550.48828125,139375.44178962708
272,5574.06640625,139881.53910636902
273,5606.87109375,140389.0130519867
274,5636.60546875,140901.45182609558
275,5660.19921875,141428.31659317017
276,5685.25,141935.40287017822
277,5717.7109375,142442.38567352295
278,5739.44921875,142948.89760017395
279,5759.52734375,143463.90199661255
280,5781.6171875,143970.49641609192
281,5804.0078125,144478.3580303192
282,5830.20703125,144996.7484474182
283,5847.68359375,145502.92897224426
284,5871.08984375,146030.13610839844
285,5901.625,146551.20539665222
286,5927.79296875,147057.41953849792
287,5952.42578125,147563.69996070862
288,5967.29296875,148078.10044288635
289,5983.00390625,148587.46147155762
290,6011.69921875,149097.2867012024
291,6040.0234375,149604.46882247925
292,6064.12890625,150111.35721206665
293,6089.92578125,150618.53098869324
294,6108.4921875,151131.82044029236
295,6126.25,151642.4276828766
296,6147.63671875,152149.47652816772
297,6165.53515625,152655.59005737305
298,6192.76171875,153161.9713306427
299,6217.51171875,153668.4913635254
300,6242.875,154175.43864250183
301,6263.4453125,154681.5745830536
302,6284.390625,155198.66847991943
303,6307.79296875,155711.0116481781
304,6337.97265625,156217.0524597168
305,6357.859375,156729.567527771
306,6384.84765625,157236.5128993988
307,6403.8984375,157743.48783493042
308,6424.61328125,158280.7230949402
309,6449.58984375,158789.4790172577
310,6468.80078125,159297.03092575073
311,6495.53515625,159805.43899536133
312,6520.6171875,160311.60259246826
313,6545.15625,160825.84834098816
314,6568.23828125,161340.6105041504
315,6591.42578125,161847.4202156067
316,6611.5078125,162354.4623851776
317,6631.72265625,162861.03582382202
318,6649.55859375,163366.5416240692
319,6678.83984375,163882.72523880005
320,6699.390625,164394.80423927307
321,6723.81640625,164901.5200138092
322,6743.1328125,165408.57219696045
323,6769.68359375,165926.54371261597
324,6794.2734375,166441.16926193237
325,6815.2890625,166948.7693309784
326,6824.76953125,167456.84623718262
327,6852.95703125,167962.62955665588
328,6874.40234375,168469.67244148254
329,6897.625,168981.3950061798
330,6917.97265625,169491.18041992188
331,6945.55078125,170001.27506256104
332,6962.875,170514.03427124023
333,6984.6640625,171021.96669578552
334,7010.71875,171535.0103378296
335,7031.11328125,172049.6425628662
336,7053.14453125,172570.47390937805
337,7069.5234375,173094.85626220703
338,7096.984375,173617.34199523926
339,7119.92578125,174126.5892982483
340,7144.33984375,174632.60173797607
341,7166.17578125,175149.44696426392
342,7189.91796875,175656.64863586426
343,7216.83203125,176163.5844707489
344,7240.80859375,176671.67210578918
345,7262.32421875,177177.88743972778
346,7289.3828125,177686.92111968994
347,7312.84375,178193.63856315613
348,7337.69140625,178704.72192764282
349,7364.109375,179211.6687297821
350,7388.58984375,179718.81771087646
351,7414.7109375,180234.84802246094
352,7443.80859375,180741.66560173035
353,7471.64453125,181250.14805793762
354,7488.7578125,181756.8917274475
355,7510.015625,182293.9817905426
356,7543.703125,182810.6813430786
357,7561.7265625,183316.65897369385
358,7596.8671875,183823.68516921997
359,7617.80859375,184330.6863307953
360,7652.05078125,184837.69249916077
361,7672.2578125,185344.88916397095
362,7688.57421875,185850.79956054688
363,7715.5625,186358.7007522583
364,7737.03515625,186864.79878425598
365,7756.03125,187371.74081802368
366,7780.3046875,187905.72047233582
367,7798.29296875,188412.70804405212
368,7824.42578125,188922.18351364136
369,7843.765625,189428.93195152283
