Number of Processes,Memory Used (MB),Time Elapsed (ms)
1,1393.10546875,522.2294330596924
2,1399.95703125,1039.2413139343262
3,1404.4453125,1549.5703220367432
4,1411.93359375,2071.493625640869
5,1421.1796875,2595.4971313476562
6,1434.94140625,3123.896598815918
7,1451.05859375,3630.495071411133
8,1465.17578125,4148.688077926636
9,1483.18359375,4672.497272491455
10,1495.71875,5194.613695144653
11,1509.1953125,5703.381061553955
12,1524.640625,6222.195625305176
13,1540.48046875,6733.2611083984375
14,1549.828125,7241.222381591797
15,1572.0078125,7750.431299209595
16,1584.8046875,8268.500328063965
17,1594.20703125,8785.789489746094
18,1608.203125,9293.39075088501
19,1618.78515625,9801.237106323242
20,1641.29296875,10312.741994857788
21,1657.81640625,10820.26219367981
22,1670.140625,11342.060804367065
23,1687.69140625,11859.09366607666
24,1699.46875,12367.822170257568
25,1719.4140625,12874.873638153076
26,1736.703125,13394.28997039795
27,1750.68359375,13915.802717208862
28,1764.85546875,14422.744750976562
29,1779.15625,14930.252075195312
30,1787.21875,15448.025226593018
31,1803.02734375,15956.254720687866
32,1825.8984375,16464.057445526123
33,1845.13671875,16972.461938858032
34,1860.078125,17480.283737182617
35,1859.375,18005.627155303955
36,1876.45703125,18515.425443649292
37,1891.0390625,19042.42515563965
38,1911.7578125,19573.029279708862
39,1924.6015625,20100.661993026733
40,1946.30078125,20618.58320236206
41,1955.35546875,21126.233100891113
42,1967.40234375,21634.252071380615
43,1984.6796875,22162.944316864014
44,2000.14453125,22684.492588043213
45,2015.125,23216.289281845093
46,2030.2109375,23754.492044448853
47,2046.203125,24280.162572860718
48,2063.8046875,24799.396753311157
49,2075.46875,25306.273460388184
50,2088.921875,25842.599868774414
51,2105.88671875,26369.87853050232
52,2121.19921875,26878.94916534424
53,2139.86328125,27387.29739189148
54,2160.859375,27895.265579223633
55,2171.32421875,28405.564546585083
56,2180.8828125,28913.289308547974
57,2199.90234375,29421.298265457153
58,2211.27734375,29929.27885055542
59,2224.66796875,30437.30926513672
60,2237.52734375,30963.557481765747
61,2256.515625,31479.307651519775
62,2273.078125,31991.525173187256
63,2284.63671875,32499.258995056152
64,2297.6953125,33007.30919837952
65,2308.71875,33517.030000686646
66,2329.20703125,34024.7745513916
67,2347.06640625,34532.31954574585
68,2363.77734375,35039.51549530029
69,2382.03515625,35553.28941345215
70,2394.546875,36072.16668128967
71,2408.8125,36606.56213760376
72,2420.5,37114.272356033325
73,2431.55859375,37630.09333610535
74,2454.12109375,38138.14640045166
75,2474.0078125,38646.82698249817
76,2484.4453125,39157.49406814575
77,2502.7109375,39665.27199745178
78,2509.38671875,40203.54390144348
79,2523.02734375,40711.30156517029
80,2541.390625,41218.358278274536
81,2555.3828125,41725.32033920288
82,2567.76953125,42255.91540336609
83,2580.83984375,42784.83510017395
84,2588.8828125,43293.17092895508
85,2610.7109375,43802.76393890381
86,2630.2578125,44310.26601791382
87,2640.80078125,44818.427324295044
88,2660.828125,45334.69486236572
89,2678.41015625,45842.265605926514
90,2692.48828125,46349.34759140015
91,2704.97265625,46887.56585121155
