Test Number,Test Type,CPU Time (ms)
1,math,69976
2,math,70039
3,math,70000
4,math,70007
5,math,69984
6,math,69984
7,math,69992
8,math,69992
9,math,69992
10,math,70007
11,math,69984
12,math,70015
13,math,69992
14,math,70007
15,math,70000
16,math,70000
17,math,69992
18,math,70000
19,math,70039
20,math,69984
21,math,69968
22,math,70015
23,math,70015
24,math,69992
25,math,70000
26,math,69992
27,math,69984
28,math,70007
29,math,70000
30,math,69968
1,int,992
2,int,1000
3,int,992
4,int,992
5,int,984
6,int,992
7,int,992
8,int,992
9,int,992
10,int,992
11,int,992
12,int,992
13,int,992
14,int,992
15,int,1000
16,int,992
17,int,992
18,int,992
19,int,1000
20,int,992
21,int,992
22,int,992
23,int,992
24,int,992
25,int,992
26,int,992
27,int,992
28,int,992
29,int,992
30,int,1000
1,float,781
2,float,789
3,float,781
4,float,789
5,float,781
6,float,789
7,float,781
8,float,789
9,float,781
10,float,789
11,float,789
12,float,781
13,float,789
14,float,781
15,float,789
16,float,781
17,float,789
18,float,781
19,float,789
20,float,781
21,float,789
22,float,789
23,float,781
24,float,789
25,float,781
26,float,789
27,float,781
28,float,789
29,float,781
30,float,789
1,array,1664
2,array,1687
3,array,1429
4,array,1687
5,array,1437
6,array,1437
7,array,1437
8,array,1437
9,array,1437
10,array,1437
11,array,1437
12,array,1437
13,array,1437
14,array,1437
15,array,1437
16,array,1437
17,array,1429
18,array,1437
19,array,1437
20,array,1437
21,array,1437
22,array,1437
23,array,1437
24,array,1437
25,array,1437
26,array,1429
27,array,1437
28,array,1437
29,array,1437
30,array,1437
