Test Number,Test Type,CPU Time (ms)
1,math,49812
2,math,49851
3,math,49828
4,math,49828
5,math,49820
6,math,49828
7,math,49812
8,math,49828
9,math,49867
10,math,49828
11,math,49828
12,math,49812
13,math,49851
14,math,49820
15,math,49835
16,math,49843
17,math,49835
18,math,49835
19,math,49828
20,math,49828
21,math,49820
22,math,49812
23,math,49851
24,math,49843
25,math,49812
26,math,49804
27,math,49812
28,math,49812
29,math,49804
30,math,49843
31,math,49835
32,math,49820
33,math,49820
34,math,49835
35,math,49835
36,math,49828
37,math,49828
38,math,49820
39,math,49867
40,math,49851
41,math,49820
42,math,49843
43,math,49851
44,math,49820
45,math,49835
46,math,49828
47,math,49843
48,math,49835
49,math,49804
50,math,49851
51,math,49828
52,math,49851
53,math,49851
54,math,49828
55,math,49835
56,math,49828
57,math,49835
58,math,49835
59,math,49828
60,math,49835
61,math,49843
62,math,49843
63,math,49828
64,math,49835
65,math,49828
66,math,49835
67,math,49812
68,math,49851
69,math,49835
70,math,49843
71,math,49828
72,math,49851
73,math,49835
74,math,49828
75,math,49851
76,math,49828
77,math,49820
78,math,49828
79,math,49820
80,math,49828
81,math,49835
82,math,49835
83,math,49828
84,math,49843
85,math,49851
86,math,49820
87,math,49835
88,math,49820
89,math,49820
90,math,49820
91,math,49835
92,math,49843
93,math,49835
94,math,49835
95,math,49828
96,math,49796
97,math,49859
98,math,49828
99,math,49812
100,math,49828
1,int,960
2,int,968
3,int,960
4,int,960
5,int,960
6,int,960
7,int,960
8,int,960
9,int,960
10,int,968
11,int,960
12,int,960
13,int,960
14,int,960
15,int,960
16,int,960
17,int,960
18,int,960
19,int,960
20,int,968
21,int,960
22,int,960
23,int,960
24,int,960
25,int,960
26,int,960
27,int,960
28,int,960
29,int,960
30,int,960
31,int,960
32,int,960
33,int,968
34,int,960
35,int,960
36,int,960
37,int,960
38,int,960
39,int,968
40,int,960
41,int,960
42,int,960
43,int,960
44,int,960
45,int,960
46,int,960
47,int,960
48,int,968
49,int,953
50,int,968
51,int,960
52,int,960
53,int,960
54,int,960
55,int,960
56,int,960
57,int,960
58,int,960
59,int,960
60,int,968
61,int,960
62,int,960
63,int,960
64,int,960
65,int,960
66,int,960
67,int,968
68,int,960
69,int,960
70,int,960
71,int,960
72,int,968
73,int,960
74,int,960
75,int,960
76,int,960
77,int,960
78,int,960
79,int,960
80,int,960
81,int,968
82,int,953
83,int,960
84,int,968
85,int,960
86,int,960
87,int,960
88,int,960
89,int,960
90,int,960
91,int,960
92,int,960
93,int,968
94,int,953
95,int,960
96,int,960
97,int,960
98,int,968
99,int,960
100,int,960
1,float,843
2,float,851
3,float,843
4,float,851
5,float,843
6,float,851
7,float,851
8,float,843
9,float,851
10,float,843
11,float,851
12,float,843
13,float,851
14,float,843
15,float,843
16,float,851
17,float,843
18,float,851
19,float,851
20,float,843
21,float,851
22,float,843
23,float,851
24,float,843
25,float,851
26,float,843
27,float,851
28,float,843
29,float,851
30,float,843
31,float,851
32,float,851
33,float,843
34,float,851
35,float,843
36,float,851
37,float,843
38,float,851
39,float,843
40,float,851
41,float,843
42,float,851
43,float,851
44,float,843
45,float,851
46,float,843
47,float,851
48,float,843
49,float,851
50,float,851
51,float,843
52,float,851
53,float,843
54,float,851
55,float,843
56,float,851
57,float,851
58,float,843
59,float,851
60,float,851
61,float,843
62,float,843
63,float,851
64,float,843
65,float,851
66,float,843
67,float,851
68,float,851
69,float,843
70,float,851
71,float,851
72,float,843
73,float,851
74,float,843
75,float,851
76,float,843
77,float,851
78,float,843
79,float,851
80,float,851
81,float,843
82,float,851
83,float,843
84,float,851
85,float,843
86,float,851
87,float,851
88,float,843
89,float,843
90,float,851
91,float,851
92,float,843
93,float,851
94,float,843
95,float,851
96,float,843
97,float,851
98,float,843
99,float,851
100,float,843
1,array,1656
2,array,1468
3,array,1476
4,array,1476
5,array,1476
6,array,1468
7,array,1468
8,array,1468
9,array,1468
10,array,1476
11,array,1476
12,array,1476
13,array,1468
14,array,1468
15,array,1476
16,array,1476
17,array,1468
18,array,1476
19,array,1468
20,array,1468
21,array,1476
22,array,1476
23,array,1468
24,array,1476
25,array,1468
26,array,1468
27,array,1476
28,array,1476
29,array,1476
30,array,1468
31,array,1468
32,array,1476
33,array,1476
34,array,1476
35,array,1476
36,array,1468
37,array,1468
38,array,1476
39,array,1476
40,array,1468
41,array,1476
42,array,1468
43,array,1468
44,array,1476
45,array,1468
46,array,1476
47,array,1476
48,array,1460
49,array,1468
50,array,1476
51,array,1476
52,array,1476
53,array,1468
54,array,1468
55,array,1476
56,array,1476
57,array,1476
58,array,1476
59,array,1468
60,array,1468
61,array,1476
62,array,1468
63,array,1476
64,array,1468
65,array,1468
66,array,1476
67,array,1476
68,array,1468
69,array,1468
70,array,1468
71,array,1468
72,array,1476
73,array,1476
74,array,1476
75,array,1468
76,array,1468
77,array,1476
78,array,1476
79,array,1476
80,array,1468
81,array,1468
82,array,1476
83,array,1476
84,array,1476
85,array,1468
86,array,1468
87,array,1476
88,array,1468
89,array,1476
90,array,1476
91,array,1460
92,array,1468
93,array,1476
94,array,1468
95,array,1476
96,array,1476
97,array,1468
98,array,1468
99,array,1476
100,array,1476
