TrialNum,Operation,CPU Time (ms)
1,math,52875
2,math,52882
3,math,52929
4,math,52914
5,math,52921
6,math,52929
7,math,52945
8,math,52906
9,math,52882
10,math,52898
11,math,52882
12,math,52906
13,math,52890
14,math,52875
15,math,52937
16,math,52921
17,math,52890
18,math,52906
19,math,52882
20,math,52945
21,math,52843
22,math,52921
23,math,52921
24,math,52867
25,math,52898
26,math,52882
27,math,52914
28,math,52890
29,math,52875
30,math,52906
31,math,52898
32,math,52882
33,math,52898
34,math,52898
35,math,52906
36,math,52890
37,math,52906
38,math,52914
39,math,52929
40,math,52898
41,math,52906
42,math,52929
43,math,52898
44,math,52898
45,math,52898
46,math,52906
47,math,52914
48,math,52875
49,math,52898
50,math,52882
51,math,52929
52,math,52914
53,math,52867
54,math,52929
55,math,52890
56,math,52898
57,math,52914
58,math,52890
59,math,52898
60,math,52937
61,math,52882
62,math,52882
63,math,52914
64,math,52914
65,math,52882
66,math,52906
67,math,52875
68,math,52890
69,math,52867
70,math,52898
71,math,52937
72,math,52867
73,math,52890
74,math,52914
75,math,52867
76,math,52914
77,math,52929
78,math,52906
79,math,52906
80,math,52898
81,math,52937
82,math,52906
83,math,52929
84,math,52882
85,math,52882
86,math,52882
87,math,52906
88,math,52890
89,math,52937
90,math,52882
91,math,52914
92,math,52906
93,math,52914
94,math,52875
95,math,52859
96,math,52914
97,math,52875
98,math,52921
99,math,52914
100,math,52906
1,int,671
2,int,671
3,int,671
4,int,671
5,int,664
6,int,671
7,int,671
8,int,671
9,int,671
10,int,671
11,int,671
12,int,671
13,int,664
14,int,671
15,int,671
16,int,671
17,int,671
18,int,671
19,int,671
20,int,664
21,int,671
22,int,671
23,int,671
24,int,671
25,int,671
26,int,671
27,int,671
28,int,664
29,int,671
30,int,671
31,int,671
32,int,671
33,int,671
34,int,671
35,int,664
36,int,671
37,int,671
38,int,671
39,int,671
40,int,671
41,int,671
42,int,664
43,int,671
44,int,671
45,int,671
46,int,671
47,int,671
48,int,671
49,int,664
50,int,671
51,int,671
52,int,671
53,int,671
54,int,671
55,int,671
56,int,671
57,int,664
58,int,671
59,int,671
60,int,671
61,int,671
62,int,671
63,int,671
64,int,664
65,int,671
66,int,671
67,int,671
68,int,671
69,int,671
70,int,671
71,int,671
72,int,664
73,int,671
74,int,671
75,int,671
76,int,671
77,int,671
78,int,671
79,int,671
80,int,664
81,int,671
82,int,671
83,int,671
84,int,671
85,int,671
86,int,671
87,int,664
88,int,671
89,int,671
90,int,671
91,int,671
92,int,671
93,int,671
94,int,664
95,int,671
96,int,671
97,int,671
98,int,671
99,int,671
100,int,671
1,float,617
2,float,625
3,float,617
4,float,625
5,float,617
6,float,625
7,float,617
8,float,625
9,float,617
10,float,625
11,float,625
12,float,617
13,float,625
14,float,617
15,float,625
16,float,617
17,float,625
18,float,617
19,float,625
20,float,617
21,float,625
22,float,617
23,float,625
24,float,625
25,float,617
26,float,625
27,float,617
28,float,625
29,float,617
30,float,625
31,float,617
32,float,625
33,float,617
34,float,625
35,float,625
36,float,617
37,float,625
38,float,617
39,float,625
40,float,617
41,float,625
42,float,617
43,float,625
44,float,617
45,float,625
46,float,625
47,float,617
48,float,625
49,float,617
50,float,625
51,float,617
52,float,625
53,float,617
54,float,625
55,float,617
56,float,625
57,float,625
58,float,617
59,float,625
60,float,617
61,float,625
62,float,617
63,float,625
64,float,617
65,float,625
66,float,617
67,float,625
68,float,625
69,float,617
70,float,625
71,float,617
72,float,625
73,float,617
74,float,625
75,float,617
76,float,625
77,float,625
78,float,617
79,float,625
80,float,617
81,float,625
82,float,617
83,float,625
84,float,617
85,float,625
86,float,625
87,float,617
88,float,625
89,float,617
90,float,625
91,float,617
92,float,625
93,float,617
94,float,625
95,float,625
96,float,617
97,float,625
98,float,617
99,float,625
100,float,617
1,array,328
2,array,343
3,array,93
4,array,351
5,array,93
6,array,93
7,array,93
8,array,93
9,array,93
10,array,93
11,array,93
12,array,93
13,array,93
14,array,93
15,array,93
16,array,93
17,array,93
18,array,93
19,array,93
20,array,101
21,array,85
22,array,101
23,array,85
24,array,101
25,array,85
26,array,101
27,array,93
28,array,101
29,array,85
30,array,101
31,array,85
32,array,101
33,array,93
34,array,101
35,array,85
36,array,101
37,array,85
38,array,101
39,array,85
40,array,93
41,array,85
42,array,101
43,array,93
44,array,93
45,array,85
46,array,93
47,array,93
48,array,93
49,array,93
50,array,93
51,array,93
52,array,93
53,array,93
54,array,93
55,array,93
56,array,93
57,array,93
58,array,93
59,array,93
60,array,93
61,array,93
62,array,93
63,array,93
64,array,93
65,array,93
66,array,93
67,array,93
68,array,93
69,array,93
70,array,93
71,array,93
72,array,93
73,array,93
74,array,93
75,array,93
76,array,93
77,array,93
78,array,93
79,array,93
80,array,93
81,array,93
82,array,93
83,array,93
84,array,93
85,array,93
86,array,93
87,array,93
88,array,93
89,array,85
90,array,101
91,array,93
92,array,101
93,array,85
94,array,101
95,array,85
96,array,101
97,array,85
98,array,101
99,array,85
100,array,101
