TrialNum,Operation,CPU Time (ms)
1,math,46757
2,math,46757
3,math,46765
4,math,46781
5,math,46757
6,math,46750
7,math,46765
8,math,46757
9,math,46781
10,math,46765
11,math,46765
12,math,46742
13,math,46742
14,math,46765
15,math,46773
16,math,46757
17,math,46773
18,math,46757
19,math,46773
20,math,46750
21,math,46750
22,math,46765
23,math,46750
24,math,46750
25,math,46765
26,math,46757
27,math,46757
28,math,46757
29,math,46757
30,math,46750
31,math,46757
32,math,46757
33,math,46750
34,math,46750
35,math,46757
36,math,46773
37,math,46765
38,math,46765
39,math,46757
40,math,46750
41,math,46750
42,math,46773
43,math,46765
44,math,46750
45,math,46757
46,math,46757
47,math,46765
48,math,46757
49,math,46734
50,math,46757
51,math,46765
52,math,46765
53,math,46765
54,math,46757
55,math,46781
56,math,46773
57,math,46765
58,math,46757
59,math,46757
60,math,46757
61,math,46750
62,math,46765
63,math,46757
64,math,46765
65,math,46742
66,math,46773
67,math,46750
68,math,46750
69,math,46757
70,math,46742
71,math,46757
72,math,46781
73,math,46765
74,math,46765
75,math,46750
76,math,46757
77,math,46765
78,math,46750
79,math,46781
80,math,46750
81,math,46757
82,math,46750
83,math,46765
84,math,46757
85,math,46765
86,math,46742
87,math,46765
88,math,46757
89,math,46765
90,math,46757
91,math,46750
92,math,46757
93,math,46757
94,math,46757
95,math,46765
96,math,46750
97,math,46750
98,math,46757
99,math,46757
100,math,46742
1,int,921
2,int,921
3,int,921
4,int,921
5,int,921
6,int,921
7,int,929
8,int,921
9,int,921
10,int,921
11,int,921
12,int,929
13,int,921
14,int,921
15,int,921
16,int,921
17,int,921
18,int,921
19,int,929
20,int,921
21,int,921
22,int,921
23,int,929
24,int,921
25,int,921
26,int,921
27,int,921
28,int,929
29,int,914
30,int,921
31,int,921
32,int,921
33,int,929
34,int,921
35,int,921
36,int,921
37,int,921
38,int,929
39,int,921
40,int,921
41,int,921
42,int,929
43,int,914
44,int,921
45,int,921
46,int,929
47,int,921
48,int,921
49,int,921
50,int,921
51,int,921
52,int,921
53,int,929
54,int,921
55,int,921
56,int,921
57,int,921
58,int,921
59,int,921
60,int,921
61,int,929
62,int,921
63,int,921
64,int,921
65,int,921
66,int,921
67,int,929
68,int,921
69,int,914
70,int,921
71,int,921
72,int,929
73,int,921
74,int,921
75,int,921
76,int,921
77,int,921
78,int,929
79,int,921
80,int,921
81,int,921
82,int,921
83,int,929
84,int,921
85,int,921
86,int,921
87,int,929
88,int,921
89,int,921
90,int,921
91,int,921
92,int,921
93,int,929
94,int,921
95,int,921
96,int,921
97,int,921
98,int,921
99,int,921
100,int,929
1,float,828
2,float,828
3,float,828
4,float,835
5,float,828
6,float,828
7,float,828
8,float,835
9,float,828
10,float,828
11,float,835
12,float,828
13,float,828
14,float,828
15,float,835
16,float,828
17,float,828
18,float,835
19,float,828
20,float,828
21,float,835
22,float,828
23,float,828
24,float,828
25,float,835
26,float,828
27,float,828
28,float,835
29,float,828
30,float,828
31,float,828
32,float,835
33,float,828
34,float,828
35,float,835
36,float,828
37,float,828
38,float,835
39,float,828
40,float,828
41,float,828
42,float,835
43,float,828
44,float,828
45,float,835
46,float,828
47,float,828
48,float,828
49,float,835
50,float,828
51,float,828
52,float,835
53,float,828
54,float,828
55,float,835
56,float,828
57,float,828
58,float,828
59,float,835
60,float,828
61,float,828
62,float,835
63,float,828
64,float,828
65,float,828
66,float,835
67,float,828
68,float,828
69,float,835
70,float,828
71,float,828
72,float,835
73,float,828
74,float,828
75,float,828
76,float,835
77,float,828
78,float,828
79,float,835
80,float,828
81,float,828
82,float,828
83,float,835
84,float,828
85,float,828
86,float,828
87,float,835
88,float,828
89,float,828
90,float,835
91,float,828
92,float,828
93,float,828
94,float,835
95,float,828
96,float,828
97,float,828
98,float,835
99,float,828
100,float,828
1,array,1664
2,array,1406
3,array,1398
4,array,1406
5,array,1398
6,array,1406
7,array,1406
8,array,1406
9,array,1406
10,array,1406
11,array,1406
12,array,1406
13,array,1406
14,array,1406
15,array,1406
16,array,1406
17,array,1406
18,array,1406
19,array,1406
20,array,1406
21,array,1398
22,array,1406
23,array,1398
24,array,1406
25,array,1398
26,array,1406
27,array,1406
28,array,1406
29,array,1406
30,array,1406
31,array,1406
32,array,1406
33,array,1406
34,array,1406
35,array,1406
36,array,1406
37,array,1406
38,array,1406
39,array,1406
40,array,1406
41,array,1406
42,array,1406
43,array,1406
44,array,1406
45,array,1398
46,array,1406
47,array,1398
48,array,1406
49,array,1398
50,array,1398
51,array,1406
52,array,1398
53,array,1406
54,array,1406
55,array,1406
56,array,1406
57,array,1406
58,array,1406
59,array,1406
60,array,1406
61,array,1406
62,array,1406
63,array,1406
64,array,1406
65,array,1406
66,array,1406
67,array,1398
68,array,1406
69,array,1398
70,array,1398
71,array,1406
72,array,1398
73,array,1406
74,array,1398
75,array,1406
76,array,1406
77,array,1406
78,array,1406
79,array,1406
80,array,1406
81,array,1406
82,array,1406
83,array,1406
84,array,1406
85,array,1406
86,array,1406
87,array,1406
88,array,1406
89,array,1398
90,array,1398
91,array,1406
92,array,1398
93,array,1406
94,array,1398
95,array,1406
96,array,1406
97,array,1406
98,array,1406
99,array,1406
100,array,1406
