Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,0.059,283.226,283.107,0.564
100,2,0.726,283.183,283.115,0.618
100,3,0.060,283.213,283.110,0.023
100,4,0.679,283.208,283.118,0.596
100,5,0.079,283.165,283.106,0.023
100,6,0.126,283.198,283.087,0.026
100,7,0.057,283.233,283.157,0.027
100,8,0.108,283.214,283.127,0.026
100,9,0.068,283.187,283.142,0.025
100,10,0.087,283.212,283.137,0.026
100,11,0.067,283.407,283.123,0.027
100,12,0.096,283.338,283.178,0.026
100,13,0.065,283.391,283.177,0.022
100,14,0.088,283.267,283.173,0.026
100,15,0.058,283.146,283.142,0.024
100,16,0.081,283.169,283.129,0.023
100,17,0.056,283.258,283.138,0.022
100,18,0.088,283.248,283.147,0.027
100,19,0.070,283.212,283.086,0.024
100,20,0.004,283.264,283.137,0.027
100,21,0.647,283.282,283.170,0.599
100,22,0.105,283.269,283.171,0.023
100,23,0.002,283.351,283.131,0.027
100,24,0.105,283.241,283.175,0.028
100,25,0.097,283.394,283.163,0.023
100,26,0.002,283.242,283.138,0.023
100,27,0.077,283.209,283.113,0.028
100,28,0.095,283.270,283.123,0.027
100,29,0.006,283.184,283.128,0.025
100,30,0.003,283.215,283.136,0.027
100,31,0.627,283.251,283.139,0.590
100,32,0.119,283.213,283.144,0.024
100,33,0.004,283.275,283.157,0.026
100,34,0.005,283.282,283.135,0.026
100,35,0.106,283.250,283.090,0.028
100,36,0.123,283.186,283.116,0.025
100,37,0.005,283.146,283.126,0.028
100,38,0.007,283.276,283.130,0.027
100,39,0.004,283.176,283.084,0.026
100,40,0.090,283.177,283.114,0.609
100,41,0.155,283.196,283.075,0.026
100,42,0.007,283.228,283.129,0.026
100,43,0.005,283.200,283.108,0.028
100,44,0.007,283.210,283.129,0.027
100,45,0.100,283.215,283.119,0.026
100,46,0.157,283.209,283.168,0.027
100,47,0.007,283.307,283.163,0.028
100,48,0.005,283.227,283.102,0.026
100,49,0.004,283.266,283.135,0.026
100,50,0.001,283.186,283.104,0.028
100,51,0.663,283.208,283.128,0.581
100,52,0.192,283.207,283.164,0.023
100,53,0.002,283.233,283.132,0.027
100,54,0.007,283.222,283.107,0.026
100,55,0.004,283.238,283.141,0.026
100,56,0.003,283.169,283.158,0.026
100,57,0.001,283.214,283.111,0.026
100,58,0.137,283.219,283.101,0.639
100,59,0.200,283.244,283.143,0.024
100,60,0.004,283.218,283.165,0.027
100,61,0.008,283.344,283.194,0.025
100,62,0.001,283.381,283.153,0.028
100,63,0.008,283.193,283.094,0.027
100,64,0.001,283.227,283.097,0.027
100,65,0.098,283.231,283.169,0.024
100,66,0.209,283.172,283.101,0.027
100,67,0.009,283.273,283.130,0.028
100,68,0.004,283.195,283.110,0.028
100,69,0.001,283.228,283.171,0.028
