Block Size (MB),Test Number,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,0.048,500.090,237.597,6.518
100,2,0.004,456.502,237.558,4.468
100,3,0.003,456.546,237.521,4.499
100,4,0.004,456.568,237.563,4.492
100,5,0.004,456.515,237.529,4.486
100,6,0.005,456.562,237.574,4.460
100,7,0.003,456.544,237.600,4.488
100,8,0.005,456.487,237.596,4.497
100,9,0.004,456.547,237.594,4.551
100,10,0.004,456.539,237.562,4.492
100,11,0.004,456.560,237.494,4.490
100,12,0.004,456.525,237.506,4.487
100,13,0.004,456.593,237.586,4.496
100,14,0.004,456.543,237.571,4.472
100,15,0.002,456.549,237.593,4.483
100,16,0.004,456.527,237.568,4.471
100,17,0.003,456.616,237.616,4.483
100,18,0.005,456.554,237.566,4.511
100,19,0.004,456.497,237.572,4.475
100,20,0.003,456.515,237.511,4.489
100,21,0.004,456.572,237.628,4.486
100,22,0.004,456.514,237.570,4.493
100,23,0.003,456.546,237.504,4.562
100,24,0.003,456.630,237.558,4.716
100,25,0.003,456.549,237.587,4.471
100,26,0.004,456.551,237.562,4.470
100,27,0.003,456.540,237.586,4.493
100,28,0.004,456.484,237.566,4.480
100,29,0.004,456.587,237.558,4.481
100,30,0.003,456.593,237.536,4.500
100,31,0.005,456.496,237.587,4.476
100,32,0.004,456.476,237.574,4.508
100,33,0.004,456.638,237.551,4.473
100,34,0.004,456.489,237.558,4.499
100,35,0.004,456.500,237.652,4.469
100,36,0.005,456.558,237.591,4.485
100,37,0.002,456.498,237.517,4.498
100,38,0.005,456.481,237.532,4.484
100,39,0.004,456.477,237.530,4.487
100,40,0.003,456.469,237.572,4.476
100,41,0.005,456.527,237.574,4.480
100,42,0.003,456.445,237.587,4.469
100,43,0.003,456.538,237.576,4.551
100,44,0.004,456.710,237.525,4.477
100,45,0.003,456.527,237.539,4.473
100,46,0.002,456.570,237.587,4.494
100,47,0.004,456.631,237.552,4.478
100,48,0.004,456.537,237.606,4.485
100,49,0.004,456.505,237.570,4.468
100,50,0.003,456.508,237.531,4.503
100,51,0.004,456.386,237.484,4.459
100,52,0.003,456.402,237.582,4.480
100,53,0.002,456.578,237.578,4.502
100,54,0.004,456.469,237.495,4.469
100,55,0.003,456.554,237.527,4.462
100,56,0.002,456.574,237.515,4.543
100,57,0.005,456.560,237.521,4.481
100,58,0.004,456.439,237.548,4.472
100,59,0.004,456.541,237.519,4.483
100,60,0.003,456.588,237.565,4.507
100,61,0.004,456.650,237.572,4.478
100,62,0.003,456.566,237.573,4.564
100,63,0.004,456.612,237.606,4.574
100,64,0.004,456.631,237.586,4.629
100,65,0.004,456.545,237.565,4.510
100,66,0.004,456.542,237.515,4.456
100,67,0.003,456.488,237.608,4.557
100,68,0.004,456.482,237.632,4.481
100,69,0.005,456.635,237.543,4.503
100,70,0.004,456.554,237.588,4.548
100,71,0.005,456.625,237.594,4.494
100,72,0.005,456.512,237.612,4.480
100,73,0.003,456.455,237.566,4.568
100,74,0.005,456.606,237.525,4.466
100,75,0.003,456.436,237.517,4.567
100,76,0.004,456.545,237.596,4.580
100,77,0.005,456.599,237.601,4.468
100,78,0.004,456.663,237.599,4.491
100,79,0.004,456.563,237.506,4.492
100,80,0.004,456.552,237.556,4.469
100,81,0.003,456.533,237.551,4.467
100,82,0.003,456.431,237.534,4.478
100,83,0.002,456.615,237.579,4.492
100,84,0.004,456.585,237.583,4.485
100,85,0.004,456.548,237.580,4.574
100,86,0.005,456.674,237.549,4.482
100,87,0.005,456.593,237.545,4.487
100,88,0.004,456.534,237.642,4.492
100,89,0.005,456.514,237.589,4.545
100,90,0.004,456.701,237.618,4.497
100,91,0.003,456.467,237.585,4.460
100,92,0.003,456.535,237.597,4.465
100,93,0.003,456.652,237.604,4.477
100,94,0.004,456.573,237.552,4.480
100,95,0.004,456.488,237.570,4.454
100,96,0.003,456.572,237.572,4.495
100,97,0.003,456.514,237.554,4.507
100,98,0.005,456.661,237.532,4.463
100,99,0.003,456.493,237.563,4.466
100,100,0.003,456.570,237.554,4.467
200,1,0.025,1000.373,475.203,13.001
200,2,0.005,913.000,475.144,9.051
200,3,0.004,913.057,474.984,9.025
200,4,0.004,912.824,475.049,9.035
200,5,0.005,912.972,475.137,9.046
200,6,0.005,912.935,475.053,8.998
200,7,0.005,912.943,475.115,9.063
200,8,0.005,912.949,475.179,9.041
200,9,0.005,913.018,475.052,9.051
200,10,0.004,913.091,475.045,9.022
200,11,0.004,912.888,475.110,9.000
200,12,0.004,913.003,475.170,9.057
200,13,0.005,913.100,475.100,9.035
200,14,0.005,912.999,474.998,9.060
200,15,0.005,912.909,475.063,9.058
200,16,0.005,913.100,475.040,9.050
200,17,0.004,913.079,475.164,9.039
200,18,0.005,912.934,475.196,9.026
200,19,0.003,913.004,475.139,9.008
200,20,0.005,913.048,475.268,9.099
200,21,0.005,913.084,475.137,9.045
200,22,0.004,912.911,475.076,9.046
200,23,0.005,912.939,475.171,9.026
200,24,0.003,912.932,475.158,9.025
200,25,0.005,912.916,475.318,9.028
200,26,0.004,913.134,475.091,9.035
200,27,0.005,913.033,475.146,9.023
200,28,0.005,912.932,475.115,9.028
200,29,0.005,913.081,475.125,9.034
200,30,0.005,912.959,475.110,9.069
200,31,0.004,912.932,475.181,9.003
200,32,0.003,912.991,475.170,9.023
200,33,0.005,913.083,475.059,9.080
200,34,0.005,913.134,475.124,9.040
200,35,0.005,912.994,475.096,9.029
200,36,0.005,913.027,475.204,9.049
200,37,0.005,913.105,475.082,9.005
200,38,0.005,913.138,475.149,9.045
200,39,0.005,913.105,475.180,9.022
200,40,0.004,913.067,475.136,9.043
200,41,0.004,913.021,475.036,9.035
200,42,0.005,912.963,475.195,9.048
200,43,0.005,912.915,475.129,9.078
200,44,0.005,913.048,475.187,9.027
200,45,0.005,912.889,475.265,9.024
200,46,0.005,912.928,475.094,9.049
200,47,0.004,913.061,475.114,9.047
200,48,0.005,912.956,475.113,9.039
200,49,0.005,912.946,475.031,9.044
200,50,0.005,913.043,475.194,9.028
200,51,0.005,913.028,475.056,9.080
200,52,0.005,913.069,475.236,9.052
200,53,0.005,913.036,475.197,9.066
200,54,0.005,913.026,475.079,9.017
200,55,0.005,912.951,475.090,9.021
200,56,0.005,913.097,475.046,9.057
200,57,0.005,913.055,475.132,9.019
200,58,0.005,913.009,475.091,9.020
200,59,0.005,913.062,475.064,9.144
200,60,0.005,912.949,475.174,9.029
200,61,0.004,912.938,475.170,9.079
200,62,0.005,913.119,475.049,9.002
200,63,0.004,912.988,475.194,9.047
200,64,0.005,912.928,475.023,9.039
200,65,0.003,913.071,475.108,9.018
200,66,0.005,913.087,475.087,9.029
200,67,0.005,913.134,475.148,9.048
200,68,0.005,913.059,474.999,9.055
200,69,0.005,912.990,475.066,9.159
200,70,0.005,912.869,475.189,9.032
200,71,0.005,913.070,475.063,9.028
200,72,0.004,913.048,475.081,9.037
200,73,0.005,913.010,475.166,9.043
200,74,0.005,913.009,475.008,9.019
200,75,0.004,913.019,475.165,9.040
200,76,0.004,913.223,475.174,9.047
200,77,0.004,912.922,475.093,9.037
200,78,0.005,913.041,475.070,9.048
200,79,0.005,913.045,475.046,9.069
200,80,0.005,913.037,475.139,9.077
