Block Size (MB),Test Number,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,60,295054,282578,580
100,2,631,295281,282586,574
100,3,42,295316,282574,23
100,4,584,295263,282580,575
100,5,57,295332,282571,23
100,6,86,295400,282582,25
100,7,56,295282,282576,24
100,8,77,295469,282578,26
100,9,61,295466,282590,22
100,10,66,295449,282590,25
100,11,56,295504,282599,26
100,12,78,295097,282575,26
100,13,59,295251,282582,24
100,14,70,295086,282565,25
100,15,55,295278,282566,22
100,16,58,295303,282577,24
100,17,57,295102,282570,22
100,18,63,295325,282568,24
100,19,53,295313,282565,22
100,20,1,295294,282586,26
100,21,520,295100,282572,572
100,22,85,295368,282581,24
100,23,2,295323,282566,23
100,24,60,295422,282575,23
100,25,85,295368,282586,24
100,26,4,295055,282570,23
100,27,82,295459,282568,25
100,28,81,295380,282564,23
100,29,1,295428,282565,22
100,30,1,295476,282565,23
200,1,509,590744,565137,1153
200,2,131,590762,565142,1199
200,3,562,590240,565145,1147
200,4,116,590822,565135,48
200,5,1,590832,565157,50
200,6,572,590174,565185,1161
200,7,181,590756,565160,49
200,8,3,590181,565164,50
200,9,96,590310,565146,51
200,10,170,590701,565133,48
200,11,1,590663,565139,50
200,12,72,590747,565180,49
200,13,160,590701,565156,49
200,14,2,590189,565157,50
200,15,5,590182,565138,50
200,16,585,590627,565138,1156
200,17,217,590612,565153,49
200,18,4,590149,565153,48
200,19,2,590442,565168,50
200,20,102,590656,565138,49
200,21,207,590666,565168,50
200,22,3,590529,565155,50
200,23,4,590682,565148,49
200,24,2,590200,565156,49
200,25,82,590235,565160,1162
200,26,273,590197,565159,49
200,27,3,590177,565139,49
200,28,1,590598,565146,51
200,29,3,590922,565160,53
200,30,79,590232,565132,49
300,1,268,885896,847712,604
300,2,7,885313,847726,549
300,3,33,886083,847725,1656
300,4,633,885206,847712,1658
300,5,297,886147,847734,72
300,6,5,885684,847718,70
300,7,11,886242,847699,74
300,8,90,885912,847702,72
300,9,302,885495,847701,72
300,10,3,886264,847696,71
300,11,1,886102,847690,71
300,12,1,885883,847715,72
300,13,87,885234,847716,1684
300,14,385,885783,847730,71
300,15,3,886157,847730,72
300,16,4,885414,847737,71
300,17,2,885716,847706,71
300,18,77,885903,847704,72
300,19,375,885377,847743,72
300,20,4,885636,847721,70
300,21,2,886020,847707,70
300,22,1,886165,847756,72
300,23,83,886160,847703,71
300,24,376,886077,847709,70
300,25,1,886065,847723,71
300,26,4,885175,847734,73
300,27,4,885343,847747,71
300,28,1,885971,847732,72
300,29,617,885281,847717,1678
300,30,462,885802,847729,72
400,1,2,1181195,1130276,105
400,2,15,1181537,1130279,737
400,3,7,1180722,1130296,101
400,4,87,1180505,1130303,2312
400,5,488,1180296,1130272,102
400,6,1,1180487,1130285,104
400,7,6,1180998,1130313,105
400,8,40,1181183,1130316,2314
400,9,86,1180236,1130328,2323
400,10,581,1180356,1130298,101
400,11,3,1180464,1130316,100
400,12,1,1180350,1130280,101
400,13,18,1180731,1130303,103
400,14,3,1181584,1130292,102
400,15,619,1181404,1130286,2300
400,16,658,1180372,1130287,102
400,17,5,1180206,1130308,101
400,18,1,1180244,1130297,102
400,19,4,1181440,1130306,101
400,20,2,1181268,1130277,103
400,21,82,1180803,1130315,102
400,22,641,1180402,1130290,100
400,23,2,1181611,1130275,101
400,24,1,1180948,1130315,102
400,25,5,1180295,1130320,100
400,26,1,1181156,1130297,101
400,27,2,1181342,1130267,102
400,28,106,1181481,1130311,2330
400,29,768,1180524,1130305,103
400,30,5,1180305,1130295,103
500,1,20,1476072,1412889,116
