Block Size (MB),Test Number,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,0.038,533.994,245.263,6.453
100,2,0.004,489.722,245.263,4.450
100,3,0.005,489.969,245.272,4.468
100,4,0.005,490.174,245.273,4.406
100,5,0.004,489.982,245.284,4.462
100,6,0.005,490.126,245.258,4.479
100,7,0.005,490.150,245.265,4.403
100,8,0.005,490.166,245.265,4.406
100,9,0.007,489.995,245.260,4.449
100,10,0.005,490.275,245.247,4.491
100,11,0.005,489.947,245.268,4.453
100,12,0.005,490.254,245.256,4.402
100,13,0.005,490.073,245.249,4.394
100,14,0.004,490.034,245.269,4.502
100,15,0.005,490.024,245.244,4.473
100,16,0.004,490.076,245.250,4.408
100,17,0.004,489.784,245.254,4.412
100,18,0.004,490.191,245.253,4.386
100,19,0.003,490.063,245.261,4.436
100,20,0.004,490.068,245.260,4.414
100,21,0.004,489.799,245.275,4.412
100,22,0.005,490.114,245.257,4.465
100,23,0.004,490.199,245.233,4.407
100,24,0.004,489.860,245.343,4.416
100,25,0.004,490.178,245.262,4.410
100,26,0.004,489.952,245.267,4.407
100,27,0.004,489.861,245.262,4.407
100,28,0.004,490.136,245.269,4.425
100,29,0.005,490.049,245.277,4.485
100,30,0.005,490.150,245.246,4.390
100,31,0.004,489.941,245.251,4.399
100,32,0.003,489.949,245.291,4.408
100,33,0.004,490.115,245.273,4.482
100,34,0.005,490.079,245.250,4.454
100,35,0.004,489.828,245.244,4.401
100,36,0.004,489.737,245.290,4.415
100,37,0.005,490.180,245.273,4.473
100,38,0.005,490.410,245.260,4.409
100,39,0.004,490.169,245.276,4.406
100,40,0.004,489.909,245.282,4.422
100,41,0.004,490.135,245.256,4.419
100,42,0.004,489.754,245.270,4.408
100,43,0.003,490.211,245.242,4.430
100,44,0.005,490.336,245.252,4.428
100,45,0.004,490.184,245.250,4.402
100,46,0.004,490.069,245.265,4.418
100,47,0.005,489.786,245.291,4.402
100,48,0.004,490.029,245.305,4.419
100,49,0.005,490.150,245.264,4.404
100,50,0.004,490.173,245.249,4.412
100,51,0.004,489.876,245.269,4.411
