Block Size (MB),Test Number,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,53,282582,322939,7
100,2,1,282575,322933,2
100,3,0,282643,323027,7
100,4,2,282642,323025,2
100,5,1,282587,322949,10
100,6,3,282587,322941,4
100,7,1,282580,322950,5
100,8,2,282563,322927,2
100,9,0,282568,322956,4
100,10,1,282573,322937,2
100,11,0,282587,322936,2
100,12,0,282580,322950,3
100,13,1,282563,322928,2
100,14,0,282560,322933,2
100,15,0,282562,322930,1
100,16,0,282561,322927,1
100,17,0,282562,322936,7
100,18,2,282575,322934,2
100,19,1,282567,322937,2
100,20,0,282564,322931,1
100,21,0,282580,322939,4
100,22,1,282564,322939,2
100,23,1,282559,322937,2
100,24,0,282560,322935,2
100,25,0,282558,322935,1
100,26,0,282560,322947,2
100,27,0,282558,322940,2
100,28,0,282560,322934,2
100,29,0,282560,322936,1
100,30,1,282568,322938,13
200,1,35,565141,645886,7
200,2,10,565166,645890,5
200,3,1,565136,645874,2
200,4,1,565123,645882,10
200,5,3,565150,645880,8
200,6,2,565132,645890,6
200,7,1,565148,645878,2
200,8,0,565127,645871,7
200,9,2,565134,645869,2
200,10,1,565135,645878,4
200,11,1,565142,645873,5
200,12,1,565147,645873,5
200,13,1,565148,645889,7
200,14,2,565156,645904,3
200,15,1,565162,645878,5
200,16,1,565130,645872,2
200,17,1,565112,645901,5
200,18,1,565144,645877,2
200,19,0,565128,645867,4
200,20,1,565141,645887,5
200,21,1,565163,645879,5
200,22,1,565128,645885,5
200,23,1,565142,645876,2
200,24,0,565128,645864,2
200,25,0,565139,645867,4
200,26,1,565152,645882,6
200,27,2,565131,645870,2
200,28,0,565124,645897,5
200,29,2,565150,645888,2
200,30,0,565154,645882,5
300,1,11,847689,968798,3
300,2,1,847677,968801,2
300,3,0,847694,968835,3
300,4,1,847712,968818,6
300,5,2,847721,968815,3
300,6,1,847725,968840,4
300,7,1,847718,968800,3
300,8,0,847713,968830,6
300,9,2,847722,968795,5
300,10,1,847715,968823,3
300,11,1,847736,968824,6
300,12,2,847695,968811,7
300,13,2,847700,968828,5
300,14,1,847722,968816,3
300,15,1,847702,968829,7
300,16,2,847724,968840,5
300,17,1,847684,968811,5
300,18,1,847709,968785,2
300,19,0,847687,968821,6
300,20,1,847730,968820,7
300,21,2,847700,968819,4
300,22,1,847719,968817,7
300,23,2,847704,968809,3
300,24,0,847706,968792,4
300,25,1,847708,968794,4
300,26,1,847720,968814,3
300,27,1,847717,968780,3
300,28,1,847680,968826,6
300,29,2,847702,968802,3
300,30,0,847713,968812,11
400,1,33,1130264,1291757,4
400,2,1,1130310,1291799,14
400,3,4,1130339,1291778,9
400,4,2,1130325,1291798,11
400,5,3,1130289,1291758,3
400,6,1,1130280,1291756,8
400,7,2,1130272,1291769,9
400,8,2,1130274,1291759,6
400,9,1,1130279,1291749,6
400,10,1,1130273,1291788,6
400,11,2,1130308,1291776,8
400,12,2,1130317,1291763,4
400,13,1,1130286,1291712,3
400,14,0,1130255,1291722,3
400,15,0,1130276,1291741,7
400,16,2,1130300,1291792,5
400,17,1,1130280,1291740,3
400,18,0,1130333,1291802,8
400,19,2,1130324,1291764,6
400,20,2,1130297,1291786,13
400,21,3,1130336,1291786,3
400,22,1,1130312,1291773,10
400,23,3,1130283,1291764,12
400,24,3,1130293,1291738,9
400,25,3,1130267,1291786,13
400,26,4,1130287,1291743,8
400,27,2,1130287,1291787,10
400,28,3,1130299,1291759,8
400,29,2,1130283,1291783,6
400,30,1,1130293,1291761,6
500,1,31,1412842,1614742,9
500,2,3,1412860,1614688,9
500,3,2,1412826,1614746,8
500,4,2,1412839,1614728,7
500,5,2,1412868,1614740,7
500,6,1,1412841,1614684,4
500,7,0,1412885,1614737,4
500,8,1,1412882,1614704,8
500,9,2,1412870,1614714,7
500,10,2,1412851,1614677,4
500,11,1,1412855,1614678,8
500,12,2,1412897,1614685,7
