Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,0.047,282.585,282.568,0.006
100,2,0.001,282.588,282.579,0.011
100,3,0.004,282.570,282.575,0.002
100,4,0.001,282.572,282.573,0.002
100,5,0.000,282.574,282.573,0.002
100,6,0.001,282.587,282.571,0.007
100,7,0.002,282.579,282.570,0.006
100,8,0.002,282.592,282.565,0.002
100,9,0.001,282.611,282.599,0.002
100,10,0.001,282.567,282.563,0.002
100,11,0.000,282.587,282.584,0.006
100,12,0.002,282.566,282.601,0.010
100,13,0.003,282.563,282.578,0.004
100,14,0.001,282.566,282.596,0.014
100,15,0.004,282.607,282.565,0.006
100,16,0.002,282.620,282.563,0.012
100,17,0.004,282.593,282.564,0.002
100,18,0.001,282.588,282.605,0.010
100,19,0.003,282.568,282.582,0.010
100,20,0.003,282.583,282.598,0.002
100,21,0.001,282.592,282.580,0.011
100,22,0.003,282.599,282.581,0.004
100,23,0.001,282.583,282.576,0.002
100,24,0.000,282.583,282.572,0.002
100,25,0.000,282.607,282.605,0.009
100,26,0.003,282.575,282.584,0.011
100,27,0.003,282.577,282.576,0.002
100,28,0.001,282.566,282.581,0.004
100,29,0.001,282.571,282.573,0.002
100,30,0.000,282.569,282.563,0.002
100,31,0.000,282.577,282.589,0.007
100,32,0.002,282.595,282.575,0.011
100,33,0.003,282.590,282.574,0.002
100,34,0.001,282.586,282.579,0.006
100,35,0.002,282.588,282.592,0.010
100,36,0.003,282.572,282.582,0.002
100,37,0.001,282.566,282.568,0.001
100,38,0.000,282.570,282.563,0.002
100,39,0.000,282.595,282.565,0.002
100,40,0.001,282.583,282.591,0.006
100,41,0.002,282.581,282.578,0.002
100,42,0.001,282.580,282.613,0.012
100,43,0.004,282.574,282.578,0.002
100,44,0.001,282.587,282.592,0.012
100,45,0.004,282.590,282.594,0.002
100,46,0.000,282.609,282.576,0.010
100,47,0.003,282.579,282.575,0.002
100,48,0.001,282.600,282.575,0.006
100,49,0.002,282.590,282.598,0.007
100,50,0.002,282.580,282.568,0.002
100,51,0.001,282.567,282.583,0.011
100,52,0.004,282.568,282.584,0.002
100,53,0.001,282.597,282.589,0.009
100,54,0.003,282.585,282.585,0.002
100,55,0.000,282.603,282.571,0.011
100,56,0.004,282.574,282.581,0.012
100,57,0.004,282.570,282.569,0.002
100,58,0.000,282.576,282.581,0.011
100,59,0.004,282.591,282.578,0.010
100,60,0.003,282.586,282.572,0.002
100,61,0.000,282.587,282.581,0.002
100,62,0.000,282.624,282.570,0.014
100,63,0.004,282.572,282.577,0.002
100,64,0.001,282.595,282.588,0.014
100,65,0.005,282.581,282.600,0.014
100,66,0.005,282.573,282.561,0.002
100,67,0.000,282.570,282.633,0.009
100,68,0.003,282.563,282.568,0.002
100,69,0.000,282.598,282.582,0.014
100,70,0.004,282.591,282.599,0.003
100,71,0.001,282.587,282.579,0.002
100,72,0.000,282.580,282.594,0.015
100,73,0.004,282.569,282.569,0.002
