Block Size (MB),Allocation_Time_Mean,Allocation_Time_Std,Write_Time_Mean,Write_Time_Std,Read_Time_Mean,Read_Time_Std,Free_Time_Mean,Free_Time_Std
100,106,162.81,295.308,134.61,282.576,9.12,97,190.67
200,138,184.86,590.498,258.8,565.152,13.51,272,453.06
300,138,197.84,885.784,352.15,847.719,16.11,318,553.84
400,141,251.11,1.180.815,488.16,1.130.297,16.14,492,837.55
500,131,287.53,1.476.014,534.18,1.412.881,21.82,321,649.56
600,168,350.89,1.771.086,665.76,1.695.456,27.63,399,800.15
700,251,507.21,2.066.147,670.82,1.978.022,28.73,725,1312.96
800,235,601.22,2.361.646,980.32,2.260.586,36.58,738,1365.85
900,312,878.94,2.656.590,881.36,2.543.166,48.78,1197,1903.5
1000,265,878.73,2.951.487,1017.72,2.825.741,45.21,405,921.64
