Block Size (MB),Allocation_Time_Mean,Allocation_Time_Std,Write_Time_Mean,Write_Time_Std,Read_Time_Mean,Read_Time_Std,Free_Time_Mean,Free_Time_Std
100,2,4.77,282584,13.86,282581,12.79,6,4.52
200,4,4.19,565164,17.12,565163,18.85,10,4.03
300,4,1.77,847755,21.18,847752,64.89,13,3.66
400,5,3.09,1130330,21.0,1130328,28.2,14,2.27
500,5,3.07,1412907,31.49,1412903,28.92,15,2.37
600,5,1.56,1695493,32.97,1695493,30.19,16,1.28
700,5,1.52,1978083,52.24,1978098,79.47,17,0.86
800,5,1.73,2260662,41.09,2260660,53.11,18,0.62
900,5,0.54,2543249,47.19,2543234,42.16,18,0.97
1000,5,0.5,2825823,47.72,2825818,41.68,18,0.64
