Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,56,40372,80735,588
100,2,695,40368,80734,585
100,3,42,40366,80733,22
100,4,583,40371,80763,595
100,5,70,40367,80734,22
100,6,104,40370,80735,25
100,7,54,40367,80731,22
100,8,54,40367,80732,25
100,9,51,40366,80733,22
100,10,51,40367,80732,24
100,11,51,40367,80743,25
100,12,82,40372,80752,25
100,13,62,40371,80746,24
100,14,78,40381,80732,25
100,15,57,40366,80732,22
100,16,63,40368,80731,24
100,17,53,40367,80731,22
100,18,62,40367,80731,24
100,19,53,40369,80730,22
100,20,1,40365,80754,26
100,21,538,40369,80740,583
100,22,90,40368,80754,23
100,23,2,40366,80733,23
100,24,65,40368,80735,23
100,25,79,40365,80732,22
100,26,1,40365,80732,22
100,27,52,40369,80729,24
100,28,75,40368,80746,25
100,29,4,40368,80740,23
100,30,1,40367,80760,26
100,31,557,40368,80742,582
100,32,114,40368,80736,23
100,33,2,40374,80734,24
100,34,1,40367,80740,22
100,35,72,40368,80732,25
100,36,105,40367,80754,24
100,37,5,40371,80732,23
100,38,1,40369,80738,24
100,39,1,40367,80731,26
100,40,72,40367,80733,593
100,41,144,40371,80733,23
100,42,2,40365,80732,23
100,43,1,40365,80732,23
100,44,1,40365,80733,23
100,45,66,40368,80756,25
100,46,139,40367,80735,23
100,47,1,40388,80737,26
100,48,5,40368,80741,24
100,49,1,40366,80736,23
100,50,1,40370,80735,24
100,51,648,40367,80735,585
100,52,165,40369,80733,23
100,53,1,40366,80737,23
100,54,1,40369,80733,23
100,55,1,40371,80747,25
100,56,3,40366,80740,24
100,57,1,40369,80732,24
100,58,113,40370,80732,616
100,59,184,40369,80731,23
100,60,1,40367,80730,24
100,61,1,40368,80732,23
100,62,1,40400,80740,28
100,63,7,40366,80752,25
100,64,3,40368,80735,24
100,65,77,40369,80737,24
100,66,197,40366,80732,23
100,67,2,40367,80732,23
100,68,1,40367,80732,23
100,69,1,40365,80749,23
100,70,1,40365,80731,23
100,71,1,40366,80743,26
100,72,5,40383,80754,23
100,73,641,40375,80741,584
100,74,221,40371,80734,23
100,75,1,40367,80736,24
100,76,1,40375,80743,23
100,77,1,40365,80735,23
100,78,1,40368,80748,23
100,79,1,40373,80736,23
100,80,1,40370,80750,24
100,81,5,40366,80734,23
100,82,95,40370,80739,598
100,83,248,40372,80737,23
100,84,2,40369,80732,24
100,85,1,40366,80734,24
100,86,1,40366,80748,28
100,87,3,40368,80731,26
100,88,1,40367,80743,24
100,89,1,40365,80732,23
100,90,1,40366,80732,24
100,91,1,40367,80731,26
100,92,640,40367,80734,589
100,93,291,40366,80732,25
100,94,2,40366,80748,24
100,95,4,40369,80736,23
100,96,1,40367,80732,23
100,97,1,40377,80732,23
100,98,1,40367,80733,23
100,99,1,40366,80736,23
100,100,1,40366,80732,24
200,1,1,80737,161468,54
200,2,110,80736,161462,1180
200,3,330,80746,161478,50
200,4,4,80733,161465,48
200,5,1,80733,161468,49
200,6,60,80756,161468,1162
200,7,7,80746,161465,1162
200,8,29,80732,161463,1155
200,9,109,80735,161463,1197
200,10,412,80759,161477,52
200,11,6,80739,161487,50
200,12,4,80734,161470,49
200,13,14,80734,161465,53
200,14,1,80748,161472,53
200,15,4,80733,161489,52
200,16,90,80739,161471,51
200,17,387,80739,161468,48
200,18,2,80736,161484,48
200,19,1,80738,161472,49
200,20,1,80737,161468,48
200,21,1,80734,161474,48
200,22,0,80735,161490,58
200,23,8,80733,161471,50
200,24,700,80744,161468,1194
200,25,457,80734,161469,49
200,26,2,80733,161496,54
200,27,8,80735,161464,55
200,28,2,80746,161483,54
200,29,5,80735,161472,53
200,30,1,80736,161468,53
200,31,1,80750,161467,52
200,32,5,80741,161481,53
200,33,106,80736,161480,1190
200,34,512,80734,161485,49
200,35,1,80754,161468,51
200,36,5,80733,161481,55
200,37,4,80735,161467,54
200,38,1,80733,161468,56
200,39,1,80750,161466,55
200,40,3,80731,161469,49
200,41,1,80734,161462,55
200,42,1,80731,161470,50
200,43,717,80733,161465,1149
200,44,597,80735,161469,50
200,45,2,80735,161464,50
200,46,1,80731,161465,49
200,47,1,80755,161468,56
200,48,9,80734,161466,55
200,49,1,80736,161476,56
200,50,6,80738,161464,49
200,51,1,80732,161488,54
200,52,7,80734,161462,51
200,53,1,80739,161467,54
200,54,22,80732,161461,1192
200,55,116,80736,161500,1216
200,56,709,80736,161465,51
200,57,2,80732,161473,50
200,58,1,80732,161467,50
200,59,1,80732,161496,54
200,60,7,80736,161461,54
200,61,1,80734,161463,53
200,62,1,80754,161472,53
200,63,5,80747,161503,55
200,64,4,80733,161464,50
200,65,1,80733,161459,54
200,66,1,80735,161477,53
200,67,2,80734,161474,50
200,68,769,80749,161471,1183
200,69,756,80734,161469,51
200,70,1,80733,161488,52
200,71,5,80735,161461,51
200,72,1,80740,161470,49
200,73,2,80730,161465,48
200,74,0,80731,161465,48
200,75,1,80735,161463,49
200,76,1,80731,161504,56
200,77,8,80732,161463,49
200,78,1,80732,161468,53
200,79,1,80735,161460,53
200,80,1,80731,161495,51
200,81,6,80733,161467,49
200,82,19,80732,161473,1239
200,83,113,80747,161471,1186
200,84,875,80736,161497,52
200,85,8,80734,161468,50
200,86,1,80732,161465,53
200,87,1,80740,161473,55
200,88,5,80732,161477,54
200,89,4,80735,161467,54
200,90,2,80737,161467,49
200,91,1,80731,161477,53
200,92,1,80732,161475,51
200,93,4,80732,161462,52
200,94,1,80742,161463,53
200,95,1,80732,161472,50
200,96,1,80734,161464,49
200,97,1,80734,161461,55
200,98,1,80732,161462,49
200,99,84,80733,161470,1193
200,100,926,80731,161465,53
300,1,1,121112,242205,606
300,2,16,121105,242207,77
300,3,7,121098,242224,79
300,4,19,121106,242220,72
300,5,7,121106,242228,74
300,6,4,121108,242216,1119
300,7,12,121102,242204,73
300,8,5,121099,242215,73
300,9,15,121114,242217,76
300,10,23,121101,242202,72
300,11,27,121099,242206,1691
300,12,110,121125,242200,1697
300,13,1010,121103,242202,73
300,14,2,121116,242214,77
300,15,6,121100,242199,74
300,16,1,121097,242206,72
300,17,1,121099,242226,76
300,18,7,121100,242200,71
300,19,3,121101,242202,72
300,20,1,121100,242208,71
300,21,1,121096,242201,76
300,22,1,121094,242234,74
300,23,4,121109,242211,71
300,24,20,121106,242206,1709
300,25,749,121107,242251,1698
300,26,1058,121109,242209,73
300,27,2,121107,242218,74
300,28,4,121101,242232,81
300,29,8,121103,242198,72
300,30,1,121100,242198,71
300,31,1,121113,242205,73
300,32,6,121098,242197,71
300,33,1,121099,242202,71
300,34,1,121124,242205,76
300,35,7,121098,242201,71
300,36,1,121113,242236,74
300,37,6,121100,242204,72
300,38,3,121102,242226,78
300,39,143,121113,242213,1679
300,40,1127,121101,242201,75
300,41,2,121099,242203,75
300,42,1,121118,242203,75
300,43,5,121099,242198,72
300,44,2,121100,242201,71
300,45,1,121135,242222,74
300,46,6,121110,242206,72
300,47,1,121101,242223,74
300,48,6,121100,242203,76
300,49,1,121099,242196,72
300,50,1,121102,242222,73
300,51,4,121106,242203,71
300,52,1,121100,242194,76
300,53,1,121117,242201,76
300,54,125,121103,242199,1679
300,55,1194,121101,242197,75
300,56,2,121103,242192,70
300,57,1,121099,242196,71
300,58,1,121097,242215,76
300,59,8,121099,242202,71
300,60,1,121101,242197,71
300,61,1,121100,242237,73
300,62,6,121104,242212,71
300,63,1,121105,242197,74
300,64,1,121135,242206,75
300,65,8,121104,242197,72
300,66,1,121102,242218,74
300,67,7,121106,242203,77
300,68,1,121100,242207,72
300,69,1,121098,242231,75
300,70,90,121105,242201,1690
300,71,1276,121106,242202,74
300,72,2,121099,242252,73
300,73,6,121107,242211,72
300,74,1,121120,242200,72
300,75,1,121118,242209,77
300,76,6,121100,242213,73
300,77,5,121103,242221,74
300,78,6,121106,242196,71
300,79,2,121105,242200,75
300,80,1,121098,242235,74
300,81,5,121106,242198,71
300,82,1,121106,242210,71
300,83,1,121102,242237,79
300,84,5,121103,242202,71
300,85,1,121097,242196,71
300,86,1,121126,242201,75
300,87,757,121103,242204,1713
300,88,1363,121104,242229,78
300,89,8,121109,242208,76
300,90,1,121104,242216,82
300,91,5,121099,242211,76
300,92,7,121099,242198,72
300,93,1,121102,242196,71
300,94,1,121099,242222,72
300,95,5,121101,242197,72
300,96,1,121102,242203,76
300,97,4,121120,242200,72
300,98,5,121103,242202,71
300,99,1,121102,242201,72
300,100,1,121112,242213,79
400,1,26,161473,322948,102
400,2,6,161478,322944,102
400,3,13,161467,322933,2379
400,4,120,161477,322953,2380
400,5,1460,161474,322936,108
400,6,8,161466,322975,110
400,7,16,161465,322940,102
400,8,11,161472,322962,106
400,9,21,161467,322946,106
400,10,3,161468,322977,102
400,11,23,161466,322937,101
400,12,6,161465,322948,108
400,13,8,161473,322940,101
400,14,1,161463,322948,101
400,15,20,161468,322939,101
400,16,40,161481,322944,2373
400,17,17,161470,322927,2330
400,18,8,161470,322944,2352
400,19,113,161469,322925,2304
400,20,1676,161467,322943,107
400,21,7,161505,322931,101
400,22,1,161477,322953,103
400,23,6,161475,322936,101
400,24,1,161470,322941,106
400,25,4,161467,322932,103
400,26,3,161464,322932,102
400,27,1,161479,322968,107
400,28,6,161466,322946,102
400,29,1,161487,322933,104
400,30,8,161465,322930,101
400,31,20,161466,322935,103
400,32,15,161472,322936,792
400,33,2,161486,322967,103
400,34,6,161471,322933,102
400,35,1,161470,322956,103
400,36,789,161467,322941,2335
400,37,1892,161469,322964,111
400,38,8,161465,322930,101
400,39,1,161471,322964,105
400,40,7,161467,322927,100
400,41,1,161468,322930,104
400,42,1,161467,322924,101
400,43,1,161466,322942,103
400,44,6,161472,322936,104
400,45,1,161465,322972,103
400,46,5,161471,322939,101
400,47,1,161465,322991,102
