Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,,282585,282568,
100,2,,282588,282579,11.0
100,3,4.0,282570,282575,
100,4,,282572,282573,
100,5,,282574,282573,
100,6,,282587,282571,
100,7,,282579,282570,
100,8,,282592,282565,
100,9,,282611,282599,
100,10,,282567,282563,
100,11,,282587,282584,
100,12,,282566,282601,10.0
100,13,3.0,282563,282578,
100,14,,282566,282596,14.0
100,15,4.0,282607,282565,
100,16,,282620,282563,12.0
100,17,4.0,282593,282564,
100,18,,282588,282605,10.0
100,19,3.0,282568,282582,10.0
100,20,3.0,282583,282598,
100,21,,282592,282580,11.0
100,22,3.0,282599,282581,
100,23,,282583,282576,
100,24,,282583,282572,
100,25,,282607,282605,
100,26,3.0,282575,282584,11.0
100,27,3.0,282577,282576,
100,28,,282566,282581,
100,29,,282571,282573,
100,30,,282569,282563,
100,31,,282577,282589,
100,32,,282595,282575,11.0
100,33,3.0,282590,282574,
100,34,,282586,282579,
100,35,,282588,282592,10.0
100,36,3.0,282572,282582,
100,37,,282566,282568,
100,38,,282570,282563,
100,39,,282595,282565,
100,40,,282583,282591,
100,41,,282581,282578,
100,42,,282580,282613,12.0
100,43,4.0,282574,282578,
100,44,,282587,282592,12.0
100,45,4.0,282590,282594,
100,46,,282609,282576,10.0
100,47,3.0,282579,282575,
100,48,,282600,282575,
100,49,,282590,282598,
100,50,,282580,282568,
100,51,,282567,282583,11.0
100,52,4.0,282568,282584,
100,53,,282597,282589,
100,54,3.0,282585,282585,
100,55,,282603,282571,11.0
100,56,4.0,282574,282581,12.0
100,57,4.0,282570,282569,
100,58,,282576,282581,11.0
100,59,4.0,282591,282578,10.0
100,60,3.0,282586,282572,
100,61,,282587,282581,
100,62,,282624,282570,14.0
100,63,4.0,282572,282577,
100,64,,282595,282588,14.0
100,65,5.0,282581,282600,14.0
100,66,5.0,282573,282561,
100,67,,282570,282633,
100,68,3.0,282563,282568,
100,69,,282598,282582,14.0
100,70,4.0,282591,282599,
100,71,,282587,282579,
100,72,,282580,282594,15.0
100,73,4.0,282569,282569,
100,74,,282569,282594,11.0
100,75,3.0,282572,282572,
100,76,,282610,282581,12.0
100,77,4.0,282572,282571,
100,78,,282592,282572,
100,79,3.0,282573,282582,
100,80,,282593,282570,
100,81,,282611,282605,10.0
100,82,4.0,282568,282571,
100,83,,282572,282605,15.0
100,84,5.0,282582,282576,
100,85,,282606,282577,15.0
100,86,4.0,282569,282566,
100,87,,282610,282575,
100,88,3.0,282570,282588,
100,89,3.0,282574,282567,
100,90,,282568,282599,10.0
100,91,3.0,282582,282581,
100,92,,282600,282577,
100,93,,282582,282577,
100,94,,282609,282590,15.0
100,95,4.0,282587,282593,
100,96,,282586,282579,
100,97,,282581,282597,
100,98,,282586,282578,
100,99,,282595,282575,12.0
100,100,3.0,282571,282570,
200,1,,565157,565138,
200,2,6.0,565203,565178,15.0
200,3,5.0,565163,565195,
200,4,,565170,565186,14.0
200,5,4.0,565149,565168,14.0
200,6,4.0,565176,565150,15.0
200,7,4.0,565158,565151,10.0
200,8,3.0,565152,565138,
200,9,,565158,565175,
200,10,,565141,565169,
200,11,,565164,565170,15.0
200,12,5.0,565169,565191,15.0
200,13,4.0,565181,565147,16.0
200,14,5.0,565175,565153,13.0
200,15,4.0,565151,565133,
200,16,,565150,565143,15.0
200,17,4.0,565167,565197,15.0
200,18,5.0,565175,565172,15.0
200,19,5.0,565148,565176,12.0
200,20,4.0,565151,565162,13.0
200,21,4.0,565158,565173,10.0
200,22,4.0,565166,565159,14.0
200,23,5.0,565192,565146,
200,24,,565200,565191,10.0
200,25,3.0,565159,565192,
200,26,,565175,565175,12.0
200,27,3.0,565142,565184,14.0
200,28,4.0,565155,565167,
200,29,4.0,565157,565142,13.0
200,30,4.0,565192,565138,11.0
200,31,3.0,565170,565137,
200,32,,565174,565163,
200,33,,565195,565180,14.0
200,34,5.0,565158,565167,
200,35,,565144,565154,
200,36,,565176,565186,16.0
200,37,4.0,565199,565174,
200,38,3.0,565183,565143,11.0
200,39,3.0,565189,565157,11.0
200,40,3.0,565159,565179,14.0
200,41,4.0,565137,565182,14.0
200,42,5.0,565169,565209,11.0
200,43,3.0,565161,565170,
200,44,3.0,565173,565162,10.0
200,45,3.0,565165,565147,13.0
200,46,4.0,565192,565164,
200,47,,565185,565136,13.0
200,48,4.0,565162,565158,15.0
200,49,4.0,565133,565158,
200,50,,565150,565151,
200,51,,565138,565170,
200,52,,565142,565139,
200,53,,565156,565150,
200,54,,565179,565132,10.0
200,55,3.0,565185,565169,13.0
200,56,4.0,565171,565187,16.0
200,57,5.0,565133,565182,16.0
200,58,4.0,565133,565180,
200,59,,565139,565169,
200,60,,565167,565140,11.0
200,61,3.0,565160,565147,14.0
200,62,4.0,565169,565137,14.0
200,63,4.0,565140,565167,11.0
200,64,3.0,565171,565170,12.0
200,65,4.0,565161,565168,
200,66,4.0,565171,565203,13.0
200,67,4.0,565141,565176,13.0
200,68,4.0,565194,565145,10.0
200,69,4.0,565171,565181,13.0
200,70,4.0,565169,565189,11.0
200,71,4.0,565144,565151,
200,72,,565142,565171,
200,73,,565151,565150,
200,74,,565183,565156,13.0
200,75,4.0,565188,565169,11.0
200,76,4.0,565179,565144,
200,77,,565167,565150,11.0
200,78,4.0,565159,565171,13.0
200,79,4.0,565166,565163,12.0
200,80,4.0,565140,565156,
200,81,3.0,565156,565135,
200,82,,565136,565166,11.0
200,83,3.0,565190,565142,
200,84,,565172,565134,11.0
200,85,3.0,565159,565146,
200,86,,565191,565200,
200,87,,565162,565183,11.0
200,88,4.0,565161,565182,11.0
200,89,4.0,565145,565164,13.0
200,90,4.0,565152,565152,
200,91,,565170,565165,15.0
200,92,4.0,565182,565147,11.0
200,93,3.0,565176,565144,15.0
200,94,4.0,565176,565178,15.0
200,95,5.0,565163,565211,12.0
200,96,4.0,565155,565170,11.0
200,97,4.0,565145,565159,
200,98,,565152,565157,13.0
200,99,3.0,565167,565142,
200,100,3.0,565186,565134,15.0
300,1,,847770,847762,17.0
300,2,5.0,847745,847773,
300,3,,847759,847706,
300,4,,847780,847753,14.0
300,5,4.0,847731,847745,16.0
300,6,4.0,847782,847765,10.0
300,7,3.0,847744,847716,
300,8,,847724,847738,16.0
300,9,5.0,847743,847733,11.0
300,10,3.0,847721,847770,15.0
300,11,4.0,847775,847743,16.0
300,12,4.0,847782,847723,12.0
300,13,3.0,847786,847756,11.0
300,14,4.0,847740,847803,14.0
300,15,4.0,847763,847774,17.0
300,16,4.0,847752,847721,15.0
300,17,5.0,847758,847750,
300,18,3.0,847754,847738,16.0
300,19,4.0,847778,847749,16.0
300,20,5.0,847805,847747,16.0
300,21,5.0,847771,847771,12.0
300,22,3.0,847731,847740,16.0
300,23,4.0,847751,847725,13.0
300,24,4.0,847762,847747,17.0
300,25,4.0,847770,847782,16.0
300,26,5.0,847775,847716,15.0
300,27,4.0,847755,847764,15.0
300,28,4.0,847774,847789,16.0
300,29,4.0,847777,847777,16.0
300,30,5.0,847735,847770,11.0
300,31,4.0,847776,847733,16.0
300,32,4.0,847743,847764,16.0
300,33,4.0,847781,847749,10.0
300,34,4.0,847756,847745,15.0
300,35,4.0,847744,847731,10.0
300,36,3.0,847737,847727,16.0
300,37,5.0,847797,847740,14.0
300,38,4.0,847750,847741,13.0
300,39,4.0,847742,847724,
300,40,,847762,847771,16.0
300,41,5.0,847793,847756,17.0
300,42,4.0,847747,847751,15.0
300,43,4.0,847756,847738,13.0
300,44,4.0,847752,847744,11.0
300,45,3.0,847748,847772,16.0
300,46,4.0,847742,847753,
300,47,,847756,847747,17.0
300,48,5.0,847743,847753,14.0
300,49,4.0,847774,847780,14.0
300,50,4.0,847731,847736,11.0
300,51,3.0,847754,847749,17.0
300,52,4.0,847749,847744,
300,53,3.0,847781,847747,13.0
300,54,3.0,847783,847738,14.0
300,55,4.0,847722,847744,17.0
300,56,5.0,847721,847715,
300,57,,847776,847758,
300,58,,847737,847759,16.0
300,59,5.0,847767,847741,15.0
300,60,5.0,847759,847756,11.0
