Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,,283226,283107,
100,2,,283183,283115,
100,3,,283213,283110,23.0
100,4,,283208,283118,
100,5,,283165,283106,23.0
100,6,,283198,283087,26.0
100,7,,283233,283157,27.0
100,8,,283214,283127,26.0
100,9,,283187,283142,25.0
100,10,,283212,283137,26.0
100,11,,283407,283123,27.0
100,12,,283338,283178,26.0
100,13,,283391,283177,22.0
100,14,,283267,283173,26.0
100,15,,283146,283142,24.0
100,16,,283169,283129,23.0
100,17,,283258,283138,22.0
100,18,,283248,283147,27.0
100,19,,283212,283086,24.0
100,20,4.0,283264,283137,27.0
100,21,,283282,283170,
100,22,,283269,283171,23.0
100,23,2.0,283351,283131,27.0
100,24,,283241,283175,28.0
100,25,,283394,283163,23.0
100,26,2.0,283242,283138,23.0
100,27,,283209,283113,28.0
100,28,,283270,283123,27.0
100,29,6.0,283184,283128,25.0
100,30,3.0,283215,283136,27.0
100,31,,283251,283139,
100,32,,283213,283144,24.0
100,33,4.0,283275,283157,26.0
100,34,5.0,283282,283135,26.0
100,35,,283250,283090,28.0
100,36,,283186,283116,25.0
100,37,5.0,283146,283126,28.0
100,38,7.0,283276,283130,27.0
100,39,4.0,283176,283084,26.0
100,40,,283177,283114,
100,41,,283196,283075,26.0
100,42,7.0,283228,283129,26.0
100,43,5.0,283200,283108,28.0
100,44,7.0,283210,283129,27.0
100,45,,283215,283119,26.0
100,46,,283209,283168,27.0
100,47,7.0,283307,283163,28.0
100,48,5.0,283227,283102,26.0
100,49,4.0,283266,283135,26.0
100,50,1.0,283186,283104,28.0
100,51,,283208,283128,
100,52,,283207,283164,23.0
100,53,2.0,283233,283132,27.0
100,54,7.0,283222,283107,26.0
100,55,4.0,283238,283141,26.0
100,56,3.0,283169,283158,26.0
100,57,1.0,283214,283111,26.0
100,58,,283219,283101,
100,59,,283244,283143,24.0
100,60,4.0,283218,283165,27.0
100,61,8.0,283344,283194,25.0
100,62,1.0,283381,283153,28.0
100,63,8.0,283193,283094,27.0
100,64,1.0,283227,283097,27.0
100,65,,283231,283169,24.0
100,66,,283172,283101,27.0
100,67,9.0,283273,283130,28.0
100,68,4.0,283195,283110,28.0
100,69,1.0,283228,283171,28.0
100,70,7.0,283231,283145,26.0
100,71,1.0,283403,283194,24.0
100,72,1.0,283402,283132,25.0
100,73,,283278,283183,
100,74,,283242,283160,27.0
100,75,7.0,283224,283125,25.0
100,76,1.0,283246,283145,27.0
100,77,6.0,283273,283113,25.0
100,78,1.0,283277,283131,27.0
100,79,3.0,283223,283079,24.0
100,80,2.0,283234,283102,26.0
100,81,6.0,283182,283117,29.0
100,82,,283185,283111,
100,83,,283214,283121,28.0
100,84,9.0,283180,283140,28.0
100,85,3.0,283267,283111,27.0
100,86,7.0,283188,283105,29.0
100,87,9.0,283253,283146,29.0
100,88,7.0,283330,283208,25.0
100,89,3.0,283221,283178,24.0
100,90,4.0,283230,283154,27.0
100,91,5.0,283206,283143,26.0
100,92,,283199,283171,
100,93,,283227,283118,23.0
100,94,2.0,283363,283093,27.0
100,95,6.0,283207,283098,25.0
100,96,1.0,283281,283161,27.0
100,97,6.0,283217,283182,28.0
100,98,5.0,283163,283098,24.0
100,99,3.0,283205,283102,25.0
100,100,5.0,283217,283107,25.0
200,1,1.0,566464,566211,55.0
200,2,,566409,566181,
200,3,,566438,566200,55.0
200,4,10.0,566427,566281,54.0
200,5,9.0,566454,566209,55.0
200,6,,566420,566241,
200,7,6.0,566433,566194,
200,8,32.0,566432,566157,
200,9,,566548,566269,
200,10,,566519,566368,48.0
200,11,2.0,566598,566234,53.0
200,12,10.0,566458,566247,54.0
200,13,22.0,566432,566380,57.0
200,14,9.0,566324,566300,54.0
200,15,5.0,566441,566235,56.0
200,16,,566478,566216,52.0
200,17,,566582,566362,56.0
200,18,10.0,566413,566266,54.0
200,19,8.0,566499,566204,55.0
200,20,4.0,566430,566208,57.0
200,21,7.0,566434,566278,59.0
200,22,6.0,566421,566278,59.0
200,23,8.0,566445,566239,56.0
200,24,,566473,566384,
200,25,,566423,566258,49.0
200,26,2.0,566563,566295,54.0
200,27,9.0,566755,566317,57.0
200,28,10.0,566376,566354,57.0
200,29,6.0,566622,566350,56.0
200,30,5.0,566479,566207,57.0
200,31,6.0,566446,566277,53.0
200,32,8.0,566435,566267,56.0
200,33,,566592,566307,
200,34,,566425,566286,52.0
200,35,6.0,566622,566279,54.0
200,36,9.0,566496,566540,54.0
200,37,9.0,566306,566288,57.0
200,38,1.0,566575,566185,59.0
200,39,7.0,566410,566217,56.0
200,40,6.0,566333,566251,52.0
200,41,6.0,566434,566296,55.0
200,42,5.0,566470,566250,51.0
200,43,,566463,566246,
200,44,,566449,566217,50.0
200,45,3.0,566381,566229,53.0
200,46,7.0,566592,566243,55.0
200,47,4.0,566423,566220,58.0
200,48,8.0,566467,566338,57.0
200,49,4.0,566461,566275,58.0
200,50,9.0,566319,566314,52.0
200,51,5.0,566461,566265,56.0
200,52,7.0,566388,566306,53.0
200,53,8.0,566509,566271,56.0
200,54,27.0,566516,566440,
200,55,,566448,566252,
200,56,,566445,566223,51.0
200,57,6.0,566407,566285,54.0
200,58,7.0,566708,566218,57.0
200,59,4.0,566431,566272,57.0
200,60,7.0,566499,566214,57.0
200,61,4.0,566561,566379,57.0
200,62,8.0,566473,566263,54.0
200,63,9.0,566546,566333,56.0
200,64,4.0,566438,566231,52.0
200,65,6.0,566503,566279,57.0
200,66,6.0,566323,566261,54.0
200,67,5.0,566438,566216,52.0
200,68,,566422,566157,
200,69,,566397,566245,56.0
200,70,11.0,566650,566383,54.0
200,71,7.0,566464,566238,54.0
200,72,6.0,566417,566301,59.0
200,73,7.0,566298,566254,57.0
200,74,5.0,566394,566227,58.0
200,75,7.0,566405,566192,50.0
200,76,2.0,566446,566146,54.0
200,77,2.0,566420,566262,53.0
200,78,9.0,566365,566254,59.0
200,79,9.0,566406,566206,55.0
200,80,9.0,566447,566303,53.0
200,81,9.0,566411,566234,52.0
200,82,27.0,566404,566348,
200,83,,566484,566297,
200,84,,566360,566142,48.0
200,85,3.0,566399,566245,54.0
200,86,9.0,566468,566329,55.0
200,87,6.0,566464,566227,54.0
200,88,2.0,566423,566404,58.0
200,89,7.0,566565,566234,58.0
200,90,9.0,566435,566308,53.0
200,91,8.0,566481,566286,58.0
200,92,9.0,566319,566186,51.0
200,93,6.0,566584,566332,55.0
200,94,2.0,566392,566332,54.0
200,95,6.0,566361,566352,52.0
200,96,6.0,566476,566293,53.0
200,97,8.0,566547,566194,55.0
200,98,5.0,566486,566297,53.0
200,99,,566472,566233,
200,100,,566376,566286,57.0
300,1,7.0,849665,849413,
300,2,18.0,849753,849371,81.0
300,3,26.0,849670,849411,84.0
300,4,26.0,850203,849478,76.0
300,5,26.0,849875,849374,74.0
300,6,5.0,849716,849307,
300,7,15.0,849669,849294,73.0
300,8,20.0,849697,849432,75.0
300,9,27.0,849647,849313,78.0
300,10,25.0,849597,849288,75.0
300,11,38.0,849641,849514,
300,12,,849708,849398,
300,13,,849848,849532,75.0
300,14,10.0,849602,849295,80.0
300,15,6.0,849670,849319,82.0
300,16,6.0,849694,849394,77.0
300,17,8.0,849684,849298,74.0
300,18,7.0,849571,849374,75.0
300,19,9.0,849516,849318,76.0
300,20,9.0,849578,849336,74.0
300,21,4.0,849571,849334,76.0
300,22,6.0,849754,849320,75.0
300,23,6.0,849768,849456,75.0
300,24,28.0,849981,849307,
300,25,,849698,849522,
300,26,,849765,849442,80.0
300,27,10.0,849600,849332,77.0
300,28,9.0,849537,849323,83.0
300,29,8.0,849796,849501,76.0
300,30,7.0,849631,849462,75.0
300,31,7.0,850107,849390,74.0
300,32,8.0,849579,849360,75.0
300,33,10.0,849647,849369,75.0
300,34,10.0,849897,849425,77.0
300,35,6.0,849804,849380,75.0
300,36,8.0,849679,849323,75.0
300,37,9.0,849657,849539,75.0
300,38,9.0,849583,849469,80.0
300,39,,849689,849334,
300,40,,849607,849359,78.0
300,41,10.0,849616,849499,79.0
300,42,8.0,849853,849284,84.0
300,43,8.0,849721,849361,77.0
300,44,9.0,849671,849430,74.0
300,45,5.0,849898,849393,75.0
300,46,9.0,849513,849398,74.0
300,47,6.0,850086,849465,71.0
300,48,2.0,849979,849489,76.0
300,49,8.0,849744,849389,75.0
300,50,8.0,849640,849383,75.0
