Test,Message Size (Bytes),Write Time (ms),Read Time (ms),Total Time (ms)
1,1024,0.016,0.161,0.177
2,1024,0.003,0.068,0.071
3,1024,0.003,0.075,0.078
4,1024,0.003,0.077,0.080
5,1024,0.003,0.080,0.084
6,1024,0.003,0.074,0.077
7,1024,0.003,0.079,0.083
8,1024,0.003,0.077,0.080
9,1024,0.003,0.080,0.083
10,1024,0.003,0.077,0.080
11,1024,0.003,0.084,0.087
12,1024,0.003,0.077,0.080
13,1024,0.003,0.080,0.083
14,1024,0.003,0.077,0.080
15,1024,0.003,0.077,0.080
16,1024,0.003,0.077,0.081
17,1024,0.003,0.083,0.086
18,1024,0.003,0.077,0.080
19,1024,0.003,0.078,0.081
20,1024,0.003,0.078,0.081
21,1024,0.003,0.089,0.092
22,1024,0.003,0.077,0.080
23,1024,0.003,0.078,0.081
24,1024,0.003,0.078,0.081
25,1024,0.003,0.081,0.084
26,1024,0.003,0.078,0.081
27,1024,0.003,0.081,0.084
28,1024,0.003,0.077,0.080
29,1024,0.003,0.081,0.084
30,1024,0.003,0.078,0.081
31,1024,0.003,0.080,0.083
32,1024,0.003,0.078,0.081
33,1024,0.003,0.081,0.084
34,1024,0.003,0.078,0.081
35,1024,0.003,0.078,0.081
36,1024,0.003,0.078,0.081
37,1024,0.003,0.082,0.085
38,1024,0.003,0.079,0.083
39,1024,0.003,0.078,0.081
40,1024,0.003,0.078,0.081
41,1024,0.003,0.087,0.090
42,1024,0.003,0.078,0.081
43,1024,0.003,0.078,0.081
44,1024,0.003,0.078,0.081
45,1024,0.003,0.081,0.085
46,1024,0.003,0.076,0.080
47,1024,0.003,0.078,0.081
48,1024,0.003,0.080,0.083
49,1024,0.003,0.082,0.085
50,1024,0.003,0.078,0.082
51,1024,0.003,0.080,0.083
52,1024,0.003,0.078,0.081
53,1024,0.003,0.081,0.084
54,1024,0.003,0.078,0.081
55,1024,0.003,0.078,0.081
56,1024,0.003,0.078,0.081
57,1024,0.003,0.081,0.085
58,1024,0.003,0.078,0.081
59,1024,0.003,0.078,0.081
60,1024,0.003,0.078,0.081
61,1024,0.003,0.088,0.091
62,1024,0.003,0.078,0.082
63,1024,0.003,0.078,0.081
64,1024,0.003,0.078,0.081
65,1024,0.003,0.082,0.085
66,1024,0.003,0.078,0.081
67,1024,0.003,0.078,0.081
68,1024,0.003,0.078,0.081
69,1024,0.003,0.083,0.086
70,1024,0.003,0.078,0.081
71,1024,0.003,0.080,0.083
72,1024,0.003,0.078,0.081
73,1024,0.003,0.081,0.085
74,1024,0.003,0.078,0.081
75,1024,0.003,0.078,0.081
76,1024,0.003,0.078,0.081
77,1024,0.003,0.082,0.085
78,1024,0.003,0.078,0.081
79,1024,0.003,0.080,0.083
80,1024,0.003,0.078,0.081
81,1024,0.003,0.085,0.088
82,1024,0.003,0.078,0.081
83,1024,0.003,0.078,0.081
84,1024,0.003,0.078,0.081
85,1024,0.003,0.082,0.085
86,1024,0.003,0.078,0.081
87,1024,0.003,0.078,0.081
88,1024,0.003,0.078,0.081
89,1024,0.003,0.080,0.083
90,1024,0.003,0.079,0.082
91,1024,0.003,0.078,0.081
92,1024,0.003,0.077,0.080
93,1024,0.003,0.081,0.084
94,1024,0.003,0.078,0.081
95,1024,0.003,0.078,0.081
96,1024,0.003,0.078,0.081
97,1024,0.003,0.081,0.084
98,1024,0.003,0.078,0.081
99,1024,0.003,0.077,0.080
100,1024,0.003,0.079,0.082
