Block Size (MB),Allocation_Time_Mean,Allocation_Time_Std,Write_Time_Mean,Write_Time_Std,Read_Time_Mean,Read_Time_Std,Free_Time_Mean,Free_Time_Std
100,93,171.27,283239,58.31,283133,28.83,89,180.05
200,98,221.17,566458,82.1,566269,65.02,214,397.35
300,99,295.44,849705,131.43,849396,87.16,222,452.92
400,127,430.92,1132983,189.58,1132550,106.44,430,788.02
500,159,599.09,1416190,189.97,1415698,123.68,217,420.54
600,151,648.0,1699454,255.41,1698795,174.82,439,921.59
700,195,880.05,1982654,245.07,1981909,122.7,453,979.92
800,216,1084.49,2265901,235.38,2265075,139.94,818,1513.98
900,288,1536.92,2549115,258.37,2548205,196.83,816,1579.74
1000,248,1543.5,2832372,337.74,2831332,167.56,444,1003.29
