Block Size (MB),Allocation_Time_Mean,Allocation_Time_Std,Write_Time_Mean,Write_Time_Std,Read_Time_Mean,Read_Time_Std,Free_Time_Mean,Free_Time_Std
100,81,158.99,40369,4.84,80737,7.56,86,178.33
200,92,219.79,80737,6.36,161472,10.22,210,395.51
300,94,295.34,121105,7.88,242209,12.7,219,452.59
400,122,430.07,161472,8.04,322946,17.29,425,783.85
500,153,596.27,201842,11.2,403681,14.85,215,417.51
600,146,646.07,242210,12.87,484417,17.45,436,917.23
700,191,879.02,282579,13.21,565154,18.71,453,987.35
800,213,1088.59,322947,14.35,645893,17.43,822,1529.08
900,283,1535.56,363315,14.68,726626,17.13,818,1587.88
1000,246,1538.68,403685,15.61,807368,18.86,443,1004.74
