Test,Message Size (Bytes),Write Time (ms),Read Time (ms),Total Time (ms)
1,1024,0.014,0.168,0.182
2,1024,0.003,0.067,0.070
3,1024,0.003,0.072,0.075
4,1024,0.003,0.075,0.078
5,1024,0.003,0.077,0.080
6,1024,0.003,0.073,0.076
7,1024,0.003,0.075,0.078
8,1024,0.003,0.075,0.078
9,1024,0.003,0.076,0.079
10,1024,0.003,0.075,0.078
11,1024,0.003,0.081,0.084
12,1024,0.003,0.073,0.076
13,1024,0.003,0.078,0.081
14,1024,0.003,0.077,0.080
15,1024,0.003,0.072,0.075
16,1024,0.003,0.073,0.076
17,1024,0.003,0.077,0.080
18,1024,0.003,0.075,0.078
19,1024,0.003,0.074,0.076
20,1024,0.003,0.073,0.076
21,1024,0.003,0.085,0.088
22,1024,0.003,0.075,0.078
23,1024,0.003,0.075,0.078
24,1024,0.004,0.076,0.080
25,1024,0.003,0.079,0.082
26,1024,0.003,0.074,0.077
27,1024,0.003,0.075,0.078
28,1024,0.003,0.073,0.076
29,1024,0.003,0.077,0.080
30,1024,0.003,0.075,0.078
31,1024,0.003,0.075,0.078
32,1024,0.003,0.073,0.076
33,1024,0.003,0.077,0.080
34,1024,0.003,0.074,0.076
35,1024,0.003,0.075,0.078
36,1024,0.003,0.073,0.076
37,1024,0.003,0.077,0.080
38,1024,0.003,0.073,0.076
39,1024,0.003,0.074,0.077
40,1024,0.003,0.075,0.078
41,1024,0.003,0.079,0.082
42,1024,0.003,0.074,0.077
43,1024,0.003,0.075,0.078
44,1024,0.003,0.074,0.076
45,1024,0.003,0.082,0.085
46,1024,0.003,0.076,0.079
47,1024,0.003,0.076,0.079
48,1024,0.003,0.077,0.080
49,1024,0.003,0.080,0.083
50,1024,0.003,0.076,0.079
51,1024,0.003,0.079,0.082
52,1024,0.003,0.077,0.080
53,1024,0.003,0.079,0.082
54,1024,0.003,0.077,0.080
55,1024,0.003,0.077,0.079
56,1024,0.003,0.077,0.079
57,1024,0.003,0.080,0.083
58,1024,0.003,0.076,0.079
59,1024,0.003,0.077,0.079
60,1024,0.003,0.077,0.080
61,1024,0.003,0.086,0.089
62,1024,0.003,0.077,0.080
63,1024,0.003,0.077,0.080
64,1024,0.003,0.077,0.080
65,1024,0.003,0.080,0.082
66,1024,0.003,0.077,0.080
67,1024,0.003,0.075,0.078
68,1024,0.003,0.076,0.079
69,1024,0.003,0.080,0.083
70,1024,0.003,0.077,0.079
71,1024,0.003,0.084,0.088
72,1024,0.003,0.076,0.078
73,1024,0.003,0.080,0.083
74,1024,0.003,0.077,0.080
75,1024,0.003,0.077,0.079
76,1024,0.003,0.078,0.081
77,1024,0.003,0.080,0.083
78,1024,0.003,0.076,0.079
79,1024,0.003,0.077,0.079
80,1024,0.003,0.076,0.079
81,1024,0.003,0.081,0.084
82,1024,0.003,0.077,0.079
83,1024,0.003,0.077,0.080
84,1024,0.003,0.077,0.080
85,1024,0.003,0.080,0.083
86,1024,0.003,0.076,0.079
87,1024,0.003,0.079,0.082
88,1024,0.003,0.076,0.079
89,1024,0.003,0.080,0.083
90,1024,0.003,0.076,0.079
91,1024,0.003,0.079,0.082
92,1024,0.003,0.076,0.079
93,1024,0.003,0.080,0.083
94,1024,0.003,0.077,0.079
95,1024,0.003,0.077,0.080
96,1024,0.003,0.069,0.072
97,1024,0.003,0.085,0.088
98,1024,0.003,0.076,0.079
99,1024,0.003,0.076,0.079
100,1024,0.003,0.079,0.082
