Test,Message Size (Bytes),Write Time (ms),Read Time (ms),Total Time (ms)
1,1024,0.010,0.045,0.055
2,1024,0.001,0.001,0.002
3,1024,0.001,0.001,0.002
4,1024,0.001,0.001,0.002
5,1024,0.004,0.001,0.005
6,1024,0.001,0.001,0.002
7,1024,0.001,0.001,0.002
8,1024,0.001,0.001,0.002
9,1024,0.003,0.001,0.004
10,1024,0.001,0.001,0.002
11,1024,0.001,0.001,0.002
12,1024,0.001,0.001,0.002
13,1024,0.004,0.001,0.005
14,1024,0.001,0.001,0.002
15,1024,0.001,0.001,0.002
16,1024,0.006,0.001,0.007
17,1024,0.001,0.001,0.002
18,1024,0.001,0.001,0.002
19,1024,0.001,0.001,0.002
20,1024,0.001,0.001,0.002
21,1024,0.001,0.001,0.002
22,1024,0.001,0.001,0.002
23,1024,0.001,0.001,0.002
24,1024,0.001,0.001,0.002
25,1024,0.001,0.001,0.002
26,1024,0.001,0.003,0.004
27,1024,0.001,0.001,0.002
28,1024,0.001,0.001,0.002
29,1024,0.001,0.001,0.002
30,1024,0.001,0.001,0.002
31,1024,0.001,0.001,0.002
32,1024,0.001,0.001,0.002
33,1024,0.001,0.001,0.002
34,1024,0.001,0.001,0.002
35,1024,0.003,0.001,0.004
36,1024,0.001,0.001,0.002
37,1024,0.001,0.001,0.002
38,1024,0.001,0.001,0.002
39,1024,0.001,0.001,0.002
40,1024,0.001,0.001,0.002
41,1024,0.001,0.001,0.002
42,1024,0.001,0.001,0.002
43,1024,0.001,0.001,0.002
44,1024,0.001,0.001,0.002
45,1024,0.001,0.001,0.002
46,1024,0.004,0.003,0.007
47,1024,0.001,0.001,0.002
48,1024,0.001,0.003,0.004
49,1024,0.001,0.001,0.002
50,1024,0.001,0.001,0.002
51,1024,0.001,0.001,0.002
52,1024,0.001,0.001,0.002
53,1024,0.001,0.001,0.002
54,1024,0.001,0.001,0.002
55,1024,0.001,0.001,0.002
56,1024,0.001,0.001,0.002
57,1024,0.001,0.001,0.002
58,1024,0.001,0.001,0.002
59,1024,0.001,0.001,0.002
60,1024,0.001,0.001,0.002
61,1024,0.001,0.001,0.002
62,1024,0.001,0.001,0.002
63,1024,0.001,0.003,0.004
64,1024,0.001,0.001,0.002
65,1024,0.001,0.004,0.006
66,1024,0.001,0.001,0.002
67,1024,0.001,0.001,0.002
68,1024,0.001,0.001,0.002
69,1024,0.001,0.001,0.002
70,1024,0.001,0.001,0.002
71,1024,0.001,0.001,0.002
72,1024,0.001,0.001,0.002
73,1024,0.001,0.001,0.002
74,1024,0.003,0.001,0.004
75,1024,0.001,0.001,0.002
76,1024,0.001,0.001,0.002
77,1024,0.001,0.003,0.003
78,1024,0.001,0.001,0.002
79,1024,0.001,0.001,0.002
80,1024,0.001,0.001,0.002
81,1024,0.001,0.001,0.002
82,1024,0.001,0.001,0.002
83,1024,0.001,0.042,0.043
84,1024,0.001,0.001,0.002
85,1024,0.001,0.001,0.002
86,1024,0.001,0.001,0.002
87,1024,0.001,0.001,0.002
88,1024,0.001,0.001,0.002
89,1024,0.001,0.001,0.002
90,1024,0.001,0.001,0.002
91,1024,0.001,0.001,0.002
92,1024,0.001,0.001,0.002
93,1024,0.001,0.001,0.002
94,1024,0.001,0.001,0.002
95,1024,0.001,0.001,0.002
96,1024,0.001,0.001,0.002
97,1024,0.001,0.001,0.002
98,1024,0.043,0.001,0.043
99,1024,0.001,0.001,0.002
100,1024,0.001,0.001,0.002
